"candidate_type","source_origin","preferred_source_subset","current_id","effective_rgb","effective_name","modlu_source_id","modlu_source_rgb","modlu_source_name","orijinal_source_id","orijinal_source_rgb","orijinal_source_name","primary_status","rgb_resolution_status","source_id_conflict_status","final_new_id","final_id_status","notes"
"single_source","modlu","modlu_kalan","21","42,63,138","CASTLEBAR","21","42,63,138","CASTLEBAR","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","22","84,66,11","SLIGO","22","84,66,11","SLIGO","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","23","126,69,139","ATHENRY","23","126,69,139","ATHENRY","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","24","168,72,12","DROMAHAIR","24","168,72,12","DROMAHAIR","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","25","0,75,140","BELCOO","25","0,75,140","BELCOO","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","26","42,78,13","LONGFORD","26","42,78,13","LONGFORD","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","27","126,84,14","CAVAN","27","126,84,14","CAVAN","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","28","84,81,141","DUBLIN","28","84,81,141","DUBLIN","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","29","168,87,142","WICKLOW","29","168,87,142","WICKLOW","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","30","0,90,15","KILDARE","30","0,90,15","KILDARE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","31","42,93,143","TRIM","31","42,93,143","TRIM","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","32","84,96,16","DROGHEDA","32","84,96,16","DROGHEDA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","33","126,99,144","BIRR","33","126,99,144","BIRR","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","34","168,102,17","ATHLONE","34","168,102,17","ATHLONE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","35","0,105,145","ARDNAMURCHON","35","0,105,145","ARDNAMURCHON","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","36","42,108,18","UISNEACH","36","42,108,18","UISNEACH","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","37","84,111,146","WEXFORD","37","84,111,146","WEXFORD","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","38","126,114,19","ENNISCORTHY","38","126,114,19","ENNISCORTHY","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","39","168,117,147","FERNS","39","168,117,147","FERNS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","40","0,120,20","CARLOW","40","0,120,20","CARLOW","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","41","42,123,148","KILKENNY","41","42,123,148","KILKENNY","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","42","84,126,21","ATHY","42","84,126,21","ATHY","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","43","126,129,149","GOWRAN","43","126,129,149","GOWRAN","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","44","168,132,22","CARRICK","44","168,132,22","CARRICK","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","45","0,135,150","LIMERICK","45","0,135,150","LIMERICK","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","46","42,138,23","ENNIS","46","42,138,23","ENNIS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","47","84,141,151","NENAGH","47","84,141,151","NENAGH","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","48","126,144,24","ROSCREA","48","126,144,24","ROSCREA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","49","168,147,152","WATERFORD","49","168,147,152","WATERFORD","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","50","0,150,25","EMLY","50","0,150,25","EMLY","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","51","42,153,153","CLONMEL","51","42,153,153","CLONMEL","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","52","84,156,26","TRALEE","52","84,156,26","TRALEE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","53","126,159,154","CORK","53","126,159,154","CORK","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","54","168,162,27","KINSALE","54","168,162,27","KINSALE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","55","0,165,155","LINDHOLM","55","0,165,155","LINDHOLM","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","56","42,168,28","VIBORG","56","42,168,28","VIBORG","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","57","84,171,156","AARHUS","57","84,171,156","AARHUS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","58","126,174,29","JELLING","58","126,174,29","JELLING","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","59","168,177,157","VORBASSE","59","168,177,157","VORBASSE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","60","0,180,30","RIBE","60","0,180,30","RIBE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","61","42,183,158","AABENRAA","61","42,183,158","AABENRAA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","62","84,186,31","HEDEBY","62","84,186,31","HEDEBY","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","63","126,189,159","ROSKILDE","63","126,189,159","ROSKILDE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","64","168,192,32","NAESTVED","64","168,192,32","NAESTVED","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","65","0,195,160","ODENSE","65","0,195,160","ODENSE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","66","42,198,33","SVENDBORG","66","42,198,33","SVENDBORG","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","67","84,201,161","NYKOBING","67","84,201,161","NYKOBING","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","68","126,204,34","NAKSKOV","68","126,204,34","NAKSKOV","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","69","168,207,162","SLAGELSE","69","168,207,162","SLAGELSE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","70","0,210,35","LUND","70","0,210,35","LUND","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","71","42,0,163","TRELLEBORG","71","42,0,163","TRELLEBORG","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","72","84,3,36","TOMMERUP","72","84,3,36","TOMMERUP","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","73","126,6,164","HELSINGBORG","73","126,6,164","HELSINGBORG","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","74","168,9,37","HALMSTAD","74","168,9,37","HALMSTAD","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","75","0,12,165","ONSALA","75","0,12,165","ONSALA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","76","42,15,38","LAHOLM","76","42,15,38","LAHOLM","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","77","84,18,166","RONNE","77","84,18,166","RONNE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","78","126,21,39","BREGNE","78","126,21,39","BREGNE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","79","168,24,167","RONNEBY","79","168,24,167","RONNEBY","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","80","0,27,40","AVASKAR","80","0,27,40","AVASKAR","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","81","42,30,168","AALBORG","81","42,30,168","AALBORG","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","82","84,33,41","RINGKOBING","82","84,33,41","RINGKOBING","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","83","126,36,169","VARDE","83","126,36,169","VARDE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","84","168,39,42","HUSUMBRO","84","168,39,42","HUSUMBRO","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","85","0,42,170","HAFN","85","0,42,170","HAFN","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","86","42,45,43","GOINGE","86","42,45,43","GOINGE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","87","84,48,171","LISTER","87","84,48,171","LISTER","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","88","126,51,44","ARENSBURG","88","126,51,44","ARENSBURG","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","89","168,54,172","SONEBURG","89","168,54,172","SONEBURG","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","90","0,57,45","MUHU","90","0,57,45","MUHU","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","91","42,60,173","DAGO","91","42,60,173","DAGO","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","92","84,63,46","HAPSAL","92","84,63,46","HAPSAL","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","93","126,66,174","LEAL","93","126,66,174","LEAL","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","94","168,69,47","REVAL","94","168,69,47","REVAL","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","95","0,72,175","HARJUMAA","95","0,72,175","HARJUMAA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","96","42,75,48","JARVA","96","42,75,48","JARVA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","97","84,78,176","WESENBURG","97","84,78,176","WESENBURG","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","98","126,81,49","NARVA","98","126,81,49","NARVA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","99","168,84,177","PARNU","99","168,84,177","PARNU","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","100","0,87,50","VILJANDI","100","0,87,50","VILJANDI","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","101","42,90,178","LEMISELE","101","42,90,178","LEMISELE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","102","84,93,51","VALMIERA","102","84,93,51","VALMIERA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","103","126,96,179","KOKENOIS","103","126,96,179","KOKENOIS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","104","168,99,52","RIGA","104","168,99,52","RIGA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","105","0,102,180","BAUSKA","105","0,102,180","BAUSKA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","106","42,105,53","DOBELE","106","42,105,53","DOBELE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","107","84,108,181","MITAU","107","84,108,181","MITAU","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","108","126,111,54","UXKULL","108","126,111,54","UXKULL","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","109","168,114,182","VENDEN","109","168,114,182","VENDEN","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","110","0,117,55","PILTENE","110","0,117,55","PILTENE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","111","42,120,183","CEKLIS","111","42,120,183","CEKLIS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","112","84,123,56","KANDAVA","112","84,123,56","KANDAVA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","113","126,126,184","BANDAVA","113","126,126,184","BANDAVA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","114","168,129,57","GROBIN","114","168,129,57","GROBIN","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","115","0,132,185","PALANGA","115","0,132,185","PALANGA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","116","42,135,58","DUVZARE","116","42,135,58","DUVZARE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","117","84,138,186","DUNDAGA","117","84,138,186","DUNDAGA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","118","126,141,59","MEMEL","118","126,141,59","MEMEL","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","119","168,144,187","TILSIT","119","168,144,187","TILSIT","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","120","0,147,60","RAGNIT","120","0,147,60","RAGNIT","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","121","42,150,188","NEUENBURG","121","42,150,188","NEUENBURG","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","122","84,153,61","LABIAU","122","84,153,61","LABIAU","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","123","126,156,189","JURBARKAS","123","126,156,189","JURBARKAS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","124","168,159,62","RASEINIAI","124","168,159,62","RASEINIAI","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","125","0,162,190","TAURAGE","125","0,162,190","TAURAGE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","126","42,165,63","MEDENIKEN","126","42,165,63","MEDENIKEN","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","127","84,168,191","SIAULIAI","127","84,168,191","SIAULIAI","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","128","126,171,64","TELSIAI","128","126,171,64","TELSIAI","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","129","168,174,192","VELIUONA","129","168,174,192","VELIUONA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","130","0,177,65","KAUNAS","130","0,177,65","KAUNAS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","131","42,180,193","KEDAINIAI","131","42,180,193","KEDAINIAI","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","132","84,183,66","UPYTE","132","84,183,66","UPYTE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","133","126,186,194","SELPILS","133","126,186,194","SELPILS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","134","168,189,67","LENNEWARDEN","134","168,189,67","LENNEWARDEN","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","135","0,192,195","JEKABPILS","135","0,192,195","JEKABPILS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","136","42,195,68","JERSIKA","136","42,195,68","JERSIKA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","137","84,198,196","DAUGAVPILS","137","84,198,196","DAUGAVPILS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","138","126,201,69","REZEKNE","138","126,201,69","REZEKNE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","139","168,204,197","CESVAINE","139","168,204,197","CESVAINE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","140","0,207,70","GULBENE","140","0,207,70","GULBENE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","141","42,210,198","ALUKSNE","141","42,210,198","ALUKSNE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","142","84,0,71","RAUNA","142","84,0,71","RAUNA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","143","126,3,199","VASTSELIINA","143","126,3,199","VASTSELIINA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","144","168,6,72","VALGA","144","168,6,72","VALGA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","145","0,9,200","TARTU","145","0,9,200","TARTU","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","146","42,12,73","POLTSAMAA","146","42,12,73","POLTSAMAA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","147","84,15,201","ALISTEGUNDE","147","84,15,201","ALISTEGUNDE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","148","126,18,74","SALACGRIVA","148","126,18,74","SALACGRIVA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","149","168,21,202","VILKMERGE","149","168,21,202","VILKMERGE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","150","0,24,75","OKNIST","150","0,24,75","OKNIST","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","151","42,27,203","UTENA","151","42,27,203","UTENA","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","152","84,30,76","BIRZAI","152","84,30,76","BIRZAI","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","153","126,33,204","TRAKAI","153","126,33,204","TRAKAI","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","154","168,36,77","KERNAVE","154","168,36,77","KERNAVE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","155","0,39,205","VILNIUS","155","0,39,205","VILNIUS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","156","42,42,78","PANEMUNE","156","42,42,78","PANEMUNE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","157","84,45,206","SUVALKAI","157","84,45,206","SUVALKAI","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","158","126,48,79","VILKAVISKIS","158","126,48,79","VILKAVISKIS","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","159","168,51,207","VALKININKAI","159","168,51,207","VALKININKAI","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","160","0,54,80","MERKINE","160","0,54,80","MERKINE","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","161","42,57,208","GRODNO","161","42,57,208","GRODNO","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","162","84,60,81","ALITEN","162","84,60,81","ALITEN","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
"single_source","modlu","modlu_kalan","163","126,63,209","SEJNY","163","126,63,209","SEJNY","","","","mod_only","unchanged","no_id_conflict_flag","","pending_keep_candidate",""
