source_province_id,source_province_name,source_root_title,source_kingdom,source_duchy,source_county,source_barony,target_province_id,target_province_name,target_root_title,target_kingdom,target_duchy,target_county,target_barony,classification,status,apply_to_history,promotion_hint,target_kind,source_history_exists,confidence,overlap_score,target_coverage,target_source_count_all,target_best_source_id,target_best_overlap_score,target_overlap_gap,notes,top_candidates
11848,,<blank>,<blank>,<blank>,<blank>,<blank>,11522,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,impassable,,0.824564,0.797729,0.697426,,,,,auto: best_target_shared_by_multiple_sources,1:11522:0.7977:0.6974 | 2:11540:0.1266:0.1227 | 3:11541:0.0416:0.0525 | 4:11545:0.0269:0.0358 | 5:11539:0.0071:0.0091
14550,,e_mongolia,k_gobi,d_gobi_ongi,c_gobi_ulaan_nuur,b_gobi_ulaan_nuur,12566,,<blank>,<blank>,<blank>,<blank>,<blank>,manual_review,manual_review,no,blocked:no_target_title,unbound,,0.822055,0.787208,0.969292,,,,,auto: strong_but_not_exact,1:12566:0.7872:0.9693 | 2:12565:0.0060:0.0069 | 3:12567:0.0008:0.0013
14542,,e_mongolia,k_gobi,d_gobi_shatuoguo,c_gobi_dorngovi,b_gobi_miggan,12555,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.821422,0.740716,0.676416,,,,,auto: top_two_overlap_share,1:12555:0.7407:0.6764 | 2:402:0.1141:0.0255 | 3:12556:0.0831:0.0621 | 4:12558:0.0583:0.0568 | 5:12554:0.0034:0.0022
12081,,h_china,k_shu_china,d_mangbu,c_xizhou_dongchuan_china,b_daishui_china,12295,,<blank>,<blank>,<blank>,<blank>,<blank>,manual_review,manual_review,no,blocked:no_target_title,unbound,,0.819769,1.000000,0.354396,,,,,auto: strong_but_not_exact,1:12295:1.0000:0.3544
9581,,e_ramanya,k_arakan,d_ramu,c_ramu,b_ramu,9581,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.819466,0.955714,0.480603,,,,,auto: best_target_shared_by_multiple_sources,1:9581:0.9557:0.4806 | 2:9580:0.0443:0.0298
14522,,e_mongolia,k_gobi,d_gobi_dadaels,c_em_dadaels,b_fic_mong_tarkhaidam,11544,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.816583,0.696778,0.790681,,,,,auto: top_two_overlap_share,1:11544:0.6968:0.7907 | 2:11543:0.1469:0.1832 | 3:11541:0.0862:0.1449 | 4:11521:0.0360:0.0022 | 5:11545:0.0234:0.0414
14524,,e_mongolia,k_gobi,d_em_tataria,c_em_kherulendada,b_fic_mong_kukuchol,11559,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.815516,0.732615,0.664594,,,,,auto: top_two_overlap_share,1:11559:0.7326:0.6646 | 2:11544:0.1357:0.0993 | 3:11521:0.1317:0.0051
9454,,e_tibet,k_gyalrong,d_gyalrong,c_zoige,b_yunglro,9454,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.815432,0.646497,0.949708,,,,,auto: top_two_overlap_share,1:9454:0.6465:0.9497 | 2:13204:0.3535:0.1947
13777,,e_japan,k_tsukushi,d_north_saikaido,c_bungo_jp,b_kusu,12039,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.815193,0.861386,0.563715,,,,,auto: top_two_overlap_share,1:12039:0.8614:0.5637 | 2:10695:0.0693:0.0462 | 3:12615:0.0462:0.0010 | 4:12597:0.0231:0.0008
13511,,<blank>,<blank>,<blank>,<blank>,<blank>,12728,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,sea,,0.811930,0.928704,0.582902,,,,,auto: best_target_shared_by_multiple_sources,1:12728:0.9287:0.5829 | 2:11436:0.0270:0.1598 | 3:11437:0.0233:0.0881 | 4:12729:0.0089:0.0038 | 5:10935:0.0080:0.0400
9568,,e_burma,k_tagaung,d_myinmu,c_myinmu,b_sagaing,9568,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.810123,0.924638,0.520392,,,,,auto: best_target_shared_by_multiple_sources,1:9568:0.9246:0.5204 | 2:8610:0.0435:0.0341 | 3:8611:0.0174:0.0167 | 4:9639:0.0145:0.0054
828,,h_india,k_bengal_east,d_chattogram,c_chatigama,b_chatigama,828,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.809343,0.980132,0.463950,,,,,auto: best_target_shared_by_multiple_sources,1:828:0.9801:0.4639 | 2:829:0.0199:0.0062
13394,,e_kambuja,k_chenla,d_sambhupura,c_thala_borivat,b_thala_borivat,10933,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.808419,0.981043,0.453285,,,,,auto: top_two_overlap_share,1:10933:0.9810:0.4533 | 2:10936:0.0190:0.0067
9639,,e_burma,k_tagaung,d_myinmu,c_myinmu,b_myinmu,9639,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.807219,0.951724,0.450000,,,,,auto: best_target_shared_by_multiple_sources,1:9639:0.9517:0.4500 | 2:8610:0.0368:0.0364 | 3:9554:0.0115:0.0054
12797,,h_china,k_qin_china,d_fengxiang_china,c_fengxiang_china,b_chencang_china,12206,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.805016,0.982699,0.314856,,,,,auto: best_target_shared_by_multiple_sources,1:12206:0.9827:0.3149 | 2:12334:0.0173:0.0073
9599,,e_ramanya,k_pegu,d_dagon,c_dala,b_krapan,9599,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.799981,0.887892,0.575581,,,,,auto: best_target_shared_by_multiple_sources,1:9599:0.8879:0.5756 | 2:9598:0.0426:0.0373 | 3:8607:0.0404:0.1000 | 4:8686:0.0291:0.0012
9443,,e_tibet,k_gyalrong,d_gainlho,c_jone,b_jone,9443,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.799797,0.900305,0.831767,,,,,auto: best_target_shared_by_multiple_sources,1:9443:0.9003:0.8318 | 2:12362:0.0997:0.1323
9178,,h_india,k_lhomon,d_dzayul,c_golag,b_goyu,9178,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.799307,1.000000,0.497932,,,,,auto: best_target_shared_by_multiple_sources,1:9178:1.0000:0.4979
9591,,e_burma,k_pagan,d_sriksetra,c_henzada,b_henzada,9591,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.798804,1.000000,0.231405,,,,,auto: best_target_shared_by_multiple_sources,1:9591:1.0000:0.2314
12916,,h_china,k_longxi_china,d_shanzhou,c_hezhou_china,b_hezhou_longyou_china,12366,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.796610,0.976680,0.589892,,,,,auto: best_target_shared_by_multiple_sources,1:12366:0.9767:0.5899 | 2:13179:0.0178:0.0208 | 3:12368:0.0055:0.0043
11585,,e_burma,k_pagan,d_toungoo,c_toungoo,b_khabaungkyo,9595,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.796040,0.962312,0.766767,,,,,auto: top_two_overlap_share,1:9595:0.9623:0.7668 | 2:9636:0.0176:0.0076 | 3:9572:0.0138:0.0150 | 4:9593:0.0063:0.0038
13296,,e_kambuja,k_isana,d_nong_khai,c_udon_thani,b_udon_thani,10959,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.795931,0.935982,0.454448,,,,,auto: top_two_overlap_share,1:10959:0.9360:0.4544 | 2:10947:0.0552:0.0127 | 3:11443:0.0088:0.0024
9624,,e_burma,k_tagaung,d_kale,c_kale,b_kale,9624,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.795222,0.997085,0.408358,,,,,auto: best_target_shared_by_multiple_sources,1:9624:0.9971:0.4084 | 2:9622:0.0029:0.0009
14523,,e_mongolia,k_gobi,d_em_tataria,c_em_kherulendada,b_fic_mong_karepuri,11545,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.795026,0.735504,0.517897,,,,,auto: top_two_overlap_share,1:11545:0.7355:0.5179 | 2:11541:0.1446:0.0966 | 3:11560:0.0667:0.0326 | 4:11522:0.0453:0.0210 | 5:11544:0.0079:0.0036
14077,,<blank>,<blank>,<blank>,<blank>,<blank>,12210,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.794355,0.942913,0.486789,,,,,auto: top_two_overlap_share,1:12210:0.9429:0.4868 | 2:12217:0.0394:0.0360 | 3:12199:0.0138:0.0103 | 4:12216:0.0020:0.0018 | 5:12196:0.0020:0.0014
9176,,h_india,k_lhomon,d_dzayul,c_golag,b_golag,9176,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.792191,0.832543,0.617819,,,,,auto: top_two_overlap_share,1:9176:0.8325:0.6178 | 2:9177:0.1675:0.0829
9324,,e_tibet,k_kham,d_litang,c_lenggu,b_lenggu,9324,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.791907,1.000000,0.418112,,,,,auto: best_target_shared_by_multiple_sources,1:9324:1.0000:0.4181
10462,,e_kalimantan,k_tarakan,d_tidung,c_malinau,b_lumbis,11102,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.790970,0.813053,0.564950,,,,,auto: top_two_overlap_share,1:11102:0.8131:0.5650 | 2:12757:0.1040:0.0038 | 3:11103:0.0741:0.0456 | 4:12926:0.0088:0.0016
12148,,h_china,k_yan_china,d_youzhou_china,c_youzhou_china,b_changdaolongshan_china,12151,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.789941,0.969828,0.415512,,,,,auto: best_target_shared_by_multiple_sources,1:12151:0.9698:0.4155 | 2:13081:0.0280:0.0207 | 3:12132:0.0022:0.0011
11280,,e_angkor,k_haripunjaya,d_nan,c_wiang_si_sa_ket,b_wiang_si_sa_ket,12502,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.788823,0.977547,0.334911,,,,,auto: best_target_shared_by_multiple_sources,1:12502:0.9775:0.3349 | 2:11448:0.0225:0.0103
14598,,e_great_liao,k_khitan_china,d_changchun_china,c_LIAO_taizhou,b_FIC_Amur_Nalidu,11732,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.788224,0.970684,0.243663,,,,,auto: top_two_overlap_share,1:11732:0.9707:0.2437 | 2:11655:0.0293:0.0070
14645,,e_great_liao,k_khitan_china,d_hiyaxu_china,c_lxj_yangchengzhou,b_cirlxj_yunyudi,12412,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.787382,0.897170,0.530692,,,,,auto: best_target_shared_by_multiple_sources,1:12412:0.8972:0.5307 | 2:12413:0.0623:0.0323 | 3:12407:0.0406:0.0272
12622,,e_great_liao,k_goguryeo,d_xianping_china,c_fuyu_china,b_weizhouhuaide_china,11739,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.786478,0.998305,0.360907,,,,,auto: top_two_overlap_share,1:11739:0.9983:0.3609 | 2:11729:0.0017:0.0004
14544,,e_mongolia,k_gobi,d_gobi_shatuoguo,c_gobi_sonkhot,b_gobi_liaoli,12557,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.785102,0.684181,0.623218,,,,,auto: top_two_overlap_share,1:12557:0.6842:0.6232 | 2:12556:0.1956:0.0890 | 3:12414:0.0609:0.0528 | 4:12395:0.0593:0.0549
11328,,h_china,k_dali,d_shicheng,c_mo_mie,b_zhe_hai,10437,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.784045,0.998062,0.347035,,,,,auto: best_target_shared_by_multiple_sources,1:10437:0.9981:0.3470 | 2:10872:0.0019:0.0007
11882,,<blank>,<blank>,<blank>,<blank>,<blank>,11932,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,impassable,,0.783840,0.970823,0.666346,,,,,auto: best_target_shared_by_multiple_sources,1:11932:0.9708:0.6663 | 2:11554:0.0103:0.0990 | 3:11555:0.0100:0.1169 | 4:11930:0.0045:0.0059 | 5:1466:0.0031:0.0001
10202,,<blank>,<blank>,<blank>,<blank>,<blank>,9324,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.781396,0.950198,0.578998,,,,,auto: best_target_shared_by_multiple_sources,1:9324:0.9502:0.5790 | 2:9321:0.0482:0.0461 | 3:9320:0.0016:0.0013
14554,,e_mongolia,k_gobi,d_gobi_shatuoguo,c_gobi_abga,b_gobi_durma,12570,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.781265,0.685382,0.594209,,,,,auto: top_two_overlap_share,1:12570:0.6854:0.5942 | 2:12555:0.2565:0.1649 | 3:408:0.0581:0.0114
9456,,e_tibet,k_gyalrong,d_gyalrong,c_sungqu,b_sungqu,9456,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.781228,0.667188,0.986903,,,,,auto: top_two_overlap_share,1:9456:0.6672:0.9869 | 2:10322:0.1969:0.5915 | 3:12535:0.1224:0.3210 | 4:7115:0.0068:0.0193 | 5:13204:0.0063:0.0053
13115,,e_tibet,k_kham,d_litang,c_muli,b_muli,11454,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,unbound,,0.780344,0.678213,0.991924,,,,,auto: top_two_overlap_share,1:11454:0.6782:0.9919 | 2:10885:0.2098:0.3025 | 3:10886:0.1089:0.1510 | 4:9324:0.0030:0.0029
11108,,h_china,k_champa,d_panduranga,c_cho_ro,b_da_gui,12506,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.780024,1.000000,0.312741,,,,,auto: best_target_shared_by_multiple_sources,1:12506:1.0000:0.3127
9588,,e_burma,k_pagan,d_sriksetra,c_sriksetra,b_sriksetra,9588,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.779089,0.916824,0.378906,,,,,auto: best_target_shared_by_multiple_sources,1:9588:0.9168:0.3789 | 2:9634:0.0737:0.0462 | 3:8609:0.0095:0.0112
14563,,e_mongolia,k_mongolia,d_EM_onon,c_EM_ononum,b_FIC_Mong_Ononum,11549,,<blank>,<blank>,<blank>,<blank>,<blank>,manual_review,manual_review,no,blocked:no_target_title,unbound,,0.778443,0.663735,0.646671,,,,,auto: strong_but_not_exact,1:11549:0.6637:0.6467 | 2:11546:0.1292:0.1562 | 3:11580:0.1001:0.1383 | 4:11538:0.0765:0.0889 | 5:11547:0.0304:0.0363
11932,,<blank>,<blank>,<blank>,<blank>,<blank>,11503,,<blank>,<blank>,<blank>,<blank>,<blank>,split,manual_review,no,blocked:no_target_title,impassable,,0.778260,0.730480,0.755986,,,,,auto: top_two_overlap_share,1:11503:0.7305:0.7560 | 2:11550:0.0916:0.1875 | 3:11551:0.0767:0.1399 | 4:11547:0.0528:0.1104 | 5:11549:0.0426:0.0728
11059,,e_ramanya,k_pegu,d_krapan,c_bogale,b_maubin,9626,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.776161,1.000000,0.377437,,,,,auto: best_target_shared_by_multiple_sources,1:9626:1.0000:0.3774
13020,,e_burma,k_shan,d_hsipaw,c_laikha,b_laikha,10971,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.774397,0.899209,0.500550,,,,,auto: best_target_shared_by_multiple_sources,1:10971:0.8992:0.5006 | 2:10965:0.0810:0.0220 | 3:10974:0.0198:0.0104
8543,,<blank>,<blank>,<blank>,<blank>,<blank>,8543,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,unbound,,0.773591,1.000000,0.605611,,,,,auto: best_target_shared_by_multiple_sources,1:8543:1.0000:0.6056
11847,,<blank>,<blank>,<blank>,<blank>,<blank>,408,,<blank>,<blank>,<blank>,<blank>,<blank>,merge,manual_review,no,blocked:no_target_title,impassable,,0.773250,0.786782,0.649924,,,,,auto: best_target_shared_by_multiple_sources,1:408:0.7868:0.6499 | 2:12557:0.0851:0.3768 | 3:12411:0.0414:0.3223 | 4:12556:0.0278:0.0616 | 5:12414:0.0206:0.0867
