source_province_id,source_name,source_rgb,classification,status,apply_to_history,target_province_id,target_name,confidence
9552,Nyaung_U,"93,114,76",exact,mapped,yes,9552,Nyaung_U,0.913106
9553,Tantkyitaung,"135,117,204",merge,manual_review,no,9553,Tantkyitaung,0.649663
9554,Myitche,"176,120,80",merge,manual_review,no,9563,Salin,0.741133
9555,Powundaung,"9,123,205",split,manual_review,no,9554,Myitche,0.853710
9556,Ava,"51,126,78",split,manual_review,no,9556,Ava,0.924979
9557,Pinya,"93,129,206",merge,manual_review,no,9557,Pinya,0.761247
9558,Taungbyon,"135,132,79",exact,mapped,yes,9558,Taungbyon,0.906116
9559,Kyaukse,"177,135,207",merge,manual_review,no,9557,Pinya,0.474480
9560,Maingmaw,"9,138,80",exact,mapped,yes,9560,Maingmaw,0.935325
9561,Mekkhaya,"51,141,208",split,manual_review,no,9561,Mekkhaya,0.751685
9562,Minbu,"93,144,81",split,manual_review,no,9562,Minbu,0.877908
9563,Salin,"135,147,209",merge,manual_review,no,9563,Salin,0.666883
9564,Ngape,"177,150,82",split,manual_review,no,9564,Ngape,0.713986
9565,Shwesettaw,"9,153,210",merge,manual_review,no,9565,Shwesettaw,0.566940
9566,Arakan Mountains,"51,156,83",merge,manual_review,no,9566,Arakan Mountains,0.835623
9567,Naga Hills,"93,159,211",merge,manual_review,no,9567,Naga Hills,0.771259
9568,Sagaing,"135,162,84",merge,manual_review,no,9568,Sagaing,0.810123
9569,Halin,"177,165,212",merge,manual_review,no,9569,Halin,0.706967
9570,Yawnghwe,"9,168,85",merge,manual_review,no,10965,Taunggyi,0.442932
9571,Yamethin,"51,171,213",merge,manual_review,no,9571,Yamethin,0.881986
9572,Shwemyo,"93,174,86",exact,mapped,yes,9572,Shwemyo,0.901712
9573,Binnaka,"135,177,214",exact,mapped,yes,9573,Binnaka,0.831681
9574,Peikthanomyo,"177,180,87",merge,manual_review,no,9574,Peikthanomyo,0.714890
9575,Magwe,"9,183,215",exact,mapped,yes,9575,Magwe,0.894964
9576,Vaisali,"51,186,88",exact,mapped,yes,9576,Vaisali,0.925532
9577,Launggyet,"93,189,216",exact,mapped,yes,9577,Launggyet,0.957094
9578,Mrauk_U,"135,192,89",split,manual_review,no,9578,Mrauk_U,0.849176
9579,Mahamuni,"177,195,217",exact,mapped,yes,9579,Mahamuni,0.915980
9580,Akyab,"9,198,90",exact,mapped,yes,9580,Akyab,0.923122
9581,Ramu,"51,201,218",merge,manual_review,no,9581,Ramu,0.819466
9582,Dianga,"93,204,91",exact,mapped,yes,9582,Dianga,0.929017
9583,Thabeik_Taung,"135,207,219",merge,manual_review,no,9583,Thabeik_Taung,0.702086
9584,Matamuhuri,"177,210,92",merge,manual_review,no,9584,Matamuhuri,0.691272
9585,Sandoway,"9,0,220",merge,manual_review,no,9592,Myanaung,0.469332
9586,Ramree,"51,3,93",exact,mapped,yes,9586,Ramree,0.981000
9587,An,"93,6,221",merge,manual_review,no,9587,An,0.686098
9588,Sriksetra,"135,9,94",merge,manual_review,no,9588,Sriksetra,0.779089
9589,Myede,"177,12,222",exact,mapped,yes,9589,Myede,0.958530
9590,Thayetmyo,"9,15,95",merge,manual_review,no,9590,Thayetmyo,0.740200
9591,Hinthada,"51,18,223",merge,manual_review,no,9591,Hinthada,0.798804
9592,Myanaung,"93,21,96",merge,manual_review,no,9592,Myanaung,0.747024
9593,Toungoo,"135,24,224",merge,manual_review,no,9593,Toungoo,0.740784
9594,Mong_Pai,"177,27,97",merge,manual_review,no,9594,Mong_Pai,0.510586
9595,Swa,"9,30,225",merge,manual_review,no,9593,Toungoo,0.747524
9596,Pegu,"51,33,98",merge,manual_review,no,9596,Pegu,0.718063
9597,Syriam,"93,36,226",exact,mapped,yes,9597,Syriam,0.843162
9598,Dagon,"135,39,99",merge,manual_review,no,9598,Dagon,0.719611
9599,Krapan,"177,42,227",merge,manual_review,no,9599,Krapan,0.799981
9622,Maukkadaw,"93,111,11",merge,manual_review,no,9622,Maukkadaw,0.755978
9623,Mingiu,"135,114,139",exact,mapped,yes,9623,Mingiu,0.903654
9624,Kale,"177,117,12",merge,manual_review,no,9624,Kale,0.795222
9625,Chin,"9,120,140",split,manual_review,no,9625,Chin,0.751210
9626,Bogale,"51,123,13",merge,manual_review,no,9626,Bogale,0.675991
9627,Thaton,"93,126,141",exact,mapped,yes,9627,Thaton,0.832960
9628,Muttina,"135,129,14",merge,manual_review,no,9628,Muttina,0.745743
9629,Mawlamyine,"177,132,142",merge,manual_review,no,9629,Mawlamyine,0.654838
9630,Taikkala,"9,135,15",merge,manual_review,no,9637,Sittaung,0.626757
9631,Negrais,"51,138,143",exact,mapped,yes,9631,Negrais,0.951567
9632,Kusumi,"93,141,16",merge,manual_review,no,9632,Kusumi,0.455488
9633,Myaungmya,"135,144,144",merge,manual_review,no,9633,Myaungmya,0.728262
9634,Taungdwingyi,"177,147,17",exact,mapped,yes,9634,Taungdwingyi,0.849162
9635,Tharrawaddy,"9,150,145",merge,manual_review,no,9635,Tharrawaddy,0.745516
9636,Phyu,"51,153,18",merge,manual_review,no,9636,Phyu,0.722964
9637,Sittaung,"93,156,146",merge,manual_review,no,9637,Sittaung,0.651195
9638,Shwegyin,"135,159,19",merge,manual_review,no,9638,Shwegyin,0.747720
9639,Myinmu,"177,162,147",merge,manual_review,no,9639,Myinmu,0.807219
9640,Madaya,"9,165,20",merge,manual_review,no,9640,Madaya,0.640982
9641,Singu,"51,168,148",split,manual_review,no,9641,Singu,0.828427
9642,Momeik,"93,171,21",merge,manual_review,no,9642,Momeik,0.659524
9643,Takon,"135,174,149",merge,manual_review,no,9643,Takon,0.848285
9644,Katha,"177,177,22",merge,manual_review,no,9644,Katha,0.679760
9645,Htigyaing,"9,180,150",merge,manual_review,no,9645,Htigyaing,0.674385
9646,Myedu,"51,183,23",merge,manual_review,no,9646,Myedu,0.695290
9647,Hanlan,"93,186,151",exact,mapped,yes,9647,Hanlan,0.908846
9657,Udaipur,"93,3,156",exact,mapped,yes,9657,Udaipur,0.990861
9658,Thaungdut,"135,6,29",split,manual_review,no,9658,Thaungdut,0.756459
10134,Anxi2,"178,156,67",exact,mapped,yes,1408,Anxi,0.947941
10142,Siberia9,"94,180,71",merge,manual_review,no,1466,Eastern Wasteland 1,0.559078
10202,Asia11,"94,147,1",merge,manual_review,no,9324,Lenggu,0.781396
10203,Asia12,"136,150,129",manual_review,manual_review,no,9301,Karub,0.500631
10204,Impassable2,"178,153,2",merge,manual_review,no,9178,Goyu,0.599206
10322,Toba,"106,77,211",split,manual_review,no,11262,SUM_Tanjung,0.741256
10323,Samosir,"182,77,61",merge,manual_review,no,11237,IMPASSABLE Sumatra mountains 2,0.570928
10324,Tapanuli Tengah,"115,95,215",merge,manual_review,no,11237,IMPASSABLE Sumatra mountains 2,0.415381
10325,Tapanuli,"177,182,61",merge,manual_review,no,11237,IMPASSABLE Sumatra mountains 2,0.479929
10326,Labuhan Batu,"182,95,61",merge,manual_review,no,12725,sea_strait_of_malacca,0.408209
10327,South Labuhan Batu,"182,61,111",merge,manual_review,no,11263,SUM_Panai,0.461847
10328,Nias,"138,182,61",merge,manual_review,no,12738,sea_indian_ocean,0.429099
10329,Mandailing,"182,61,97",merge,manual_review,no,11237,IMPASSABLE Sumatra mountains 2,0.297339
10330,Panyabungan,"71,61,182",merge,manual_review,no,11237,IMPASSABLE Sumatra mountains 2,0.414377
10331,Padang Lawas,"127,61,182",split,manual_review,no,11264,SUM_Bahal,0.598370
10332,North Padang Lawas,"61,172,182",merge,manual_review,no,11263,SUM_Panai,0.523221
10333,South Tapanuli,"61,182,127",merge,manual_review,no,11237,IMPASSABLE Sumatra mountains 2,0.662634
10334,Rokan Hilir,"93,163,129",merge,manual_review,no,12724,sea_strait_of_malacca,0.661196
10335,Dumai,"104,93,163",merge,manual_review,no,12724,sea_strait_of_malacca,0.454057
10336,Rokan Hulu,"95,30,123",merge,manual_review,no,11266,SUM_Kalowang,0.401259
10337,Bengkalis,"30,85,123",split,manual_review,no,11267,SUM_Rokan,0.488703
10338,Kampar,"123,113,30",merge,manual_review,no,11265,SUM_Rokan_Hilir,0.374726
10339,East Kampar,"30,86,123",merge,manual_review,no,11269,SUM_Pekanbaru,0.637159
10340,Siak,"51,30,123",merge,manual_review,no,12724,sea_strait_of_malacca,0.609709
10341,Meranti Islands,"114,30,123",merge,manual_review,no,12724,sea_strait_of_malacca,0.331002
10342,Kuansing,"93,115,163",merge,manual_review,no,11271,SUM_Kahwas,0.373894
10343,Indragiri Hulu,"142,93,163",split,manual_review,no,11275,SUM_Selat_Panjang,0.498802
10344,North Indragiri Hilir,"163,93,107",merge,manual_review,no,12723,sea_berhala_strait,0.491190
10345,South Indragiri Hilir,"221,69,99",merge,manual_review,no,12723,sea_berhala_strait,0.335256
10346,West Pelalawan,"123,91,30",merge,manual_review,no,11273,SUM_Siak,0.444300
10347,East Pelalawan,"163,102,93",merge,manual_review,no,12723,sea_berhala_strait,0.398952
10348,Batu Islands,"163,93,125",merge,manual_review,no,12739,sea_indian_ocean,0.589959
10349,Pasaman Barat,"93,163,112",merge,manual_review,no,11265,SUM_Rokan_Hilir,0.341686
10350,Pasaman,"163,93,146",merge,manual_review,no,11265,SUM_Rokan_Hilir,0.605527
10351,Limapuluh Kota,"145,163,93",merge,manual_review,no,11265,SUM_Rokan_Hilir,0.390335
10352,Agam,"163,151,93",split,manual_review,no,11238,IMPASSABLE Sumatra mountains 3,0.460558
10353,Padang Pariaman,"188,31,47",merge,manual_review,no,11270,SUM_Muara_Takus,0.510212
10354,Pesisir Selatan,"188,31,148",merge,manual_review,no,11239,IMPASSABLE Sumatra mountains 4,0.454008
10355,Siberut,"136,31,188",merge,manual_review,no,12739,sea_indian_ocean,0.389850
10356,Solok Selatan,"188,40,31",merge,manual_review,no,11284,SUM_Pagaruyung,0.498878
10357,Solok,"31,188,186",merge,manual_review,no,11284,SUM_Pagaruyung,0.555392
10358,Dharmasraya,"31,41,188",merge,manual_review,no,11283,SUM_Kuntu,0.530331
10359,Sawahlunto,"93,163,159",merge,manual_review,no,11269,SUM_Pekanbaru,0.525459
10360,Mentawai Islands,"93,163,142",merge,manual_review,no,12740,sea_indian_ocean,0.387919
10361,Mukomuko,"121,163,93",merge,manual_review,no,11239,IMPASSABLE Sumatra mountains 4,0.538936
10362,North Bengkulu,"163,133,93",merge,manual_review,no,11290,SUM_Teba,0.573527
10363,Central Bengkulu,"176,51,205",merge,manual_review,no,11291,SUM_Karang_Brahi,0.619889
10364,Seluma,"205,51,114",split,manual_review,no,11292,SUM_Lahat,0.585563
10365,Enggano,"90,51,205",manual_review,manual_review,no,11312,SUM_Bengkulu,0.636548
10366,13007,"90,51,202",merge,manual_review,no,12260,b_siyuanzhou_ziyuanzhou,0.527297
10367,Rantau Rasau,"205,51,201",merge,manual_review,no,12723,sea_berhala_strait,0.585856
10368,Tanjung Bolo,"85,51,205",merge,manual_review,no,11281,SUM_Rengat,0.499576
10369,Muaro Jambi,"205,51,60",merge,manual_review,no,12723,sea_berhala_strait,0.463803
10370,Muara Tebo,"160,205,51",merge,manual_review,no,11282,SUM_Indragiri,0.516410
10371,Benteng,"175,221,160",merge,manual_review,no,11281,SUM_Rengat,0.510998
10372,Tanah Sepanggal,"51,91,205",merge,manual_review,no,11283,SUM_Kuntu,0.694758
10373,Kerinci,"51,205,179",merge,manual_review,no,11285,SUM_Dharmasraya,0.600779
10374,Merangin,"121,51,205",merge,manual_review,no,11287,SUM_Kuala_Kuantan,0.634741
10375,Sarolangun,"163,93,119",merge,manual_review,no,11286,SUM_Gudahiri,0.539718
10376,Bayung Lencir,"163,93,121",merge,manual_review,no,12723,sea_berhala_strait,0.580581
10377,Lubuk Bintialo,"163,149,93",merge,manual_review,no,11288,SUM_Tungkal,0.664153
10378,Musi Rawas Utara,"163,93,154",merge,manual_review,no,11289,SUM_Jamongas,0.462219
10379,Palembang,"93,125,163",merge,manual_review,no,12722,sea_bangka_strait,0.602993
10380,Musi Rawas,"93,160,163",merge,manual_review,no,11291,SUM_Karang_Brahi,0.437506
10381,Air Sugihan,"95,50,196",merge,manual_review,no,11322,SUM_Kota_Kapur,0.528996
10382,Pedamaran,"196,54,50",merge,manual_review,no,12722,sea_bangka_strait,0.484160
10383,Empat Lawang,"54,87,29",merge,manual_review,no,11293,SUM_Tumbesi,0.765186
10384,Lahat,"29,49,87",merge,manual_review,no,11297,SUM_Salekar,0.543796
10385,Ogan Komering Ulu Selatan,"51,97,182",merge,manual_review,no,11298,SUM_Musi,0.453527
10386,Ogan Komering Ulu Timur,"182,106,51",split,manual_review,no,11296,SUM_Palembang,0.635309
10387,Ogan Komering Ulu,"193,196,50",merge,manual_review,no,11297,SUM_Salekar,0.539854
10388,Muara Enim,"142,196,50",merge,manual_review,no,11297,SUM_Salekar,0.466058
10389,Tulang Bawang,"80,100,50",merge,manual_review,no,11303,SUM_Baros,0.478119
10390,Way Kanan,"50,100,53",merge,manual_review,no,11302,SUM_Minanga_Tamwan,0.451058
10391,Barat,"100,50,97",manual_review,manual_review,no,11301,SUM_Pedamaran,0.379200
10392,North Lampung,"63,50,100",merge,manual_review,no,11304,SUM_FIC_Rawatimur,0.509832
10393,Tanggamus,"50,100,56",merge,manual_review,no,11305,SUM_Mesuji,0.592875
10394,Central Lampung,"103,231,214",merge,manual_review,no,11304,SUM_FIC_Rawatimur,0.682160
10395,East Lampung,"103,231,122",merge,manual_review,no,11304,SUM_FIC_Rawatimur,0.570746
10396,South Lampung,"141,163,93",merge,manual_review,no,11305,SUM_Mesuji,0.450266
10397,Little Andaman,"163,113,93",exact,mapped,yes,1468,Onge,0.950000
10398,South Andaman,"156,93,163",merge,manual_review,no,11248,Nakkavaram/Nicobar,0.771278
10399,North Andaman,"93,163,155",split,manual_review,no,12848,Diglipur,0.773209
10400,Middle Andaman,"93,100,163",merge,manual_review,no,11248,Nakkavaram/Nicobar,0.736542
10401,Nicobar Islands,"142,148,205",manual_review,manual_review,no,12849,Muot/Nancowry,0.598574
10402,Lingga,"35,19,113",merge,manual_review,no,12723,sea_berhala_strait,0.533723
10403,Bintan,"28,113,19",merge,manual_review,no,12734,sea_natuna,0.628894
10404,Karimun,"85,214,73",split,manual_review,no,11398,MAL_Johor,0.581381
10405,Batam,"113,84,19",merge,manual_review,no,12734,sea_natuna,0.512207
10406,Natuna,"19,70,113",merge,manual_review,no,12737,sea_north_natuna,0.467629
10407,Anambas,"113,19,70",merge,manual_review,no,12761,sea_south_china,0.557392
10408,Belitung,"151,101,202",merge,manual_review,no,12721,sea_karimata_strait,0.450367
10409,South Bangka,"101,132,202",merge,manual_review,no,12721,sea_karimata_strait,0.501007
10410,North Bangka,"137,54,172",merge,manual_review,no,12722,sea_bangka_strait,0.631975
10411,13008,"61,182,174",merge,manual_review,no,13153,b_qingzhou_4,0.612495
10412,13009,"182,61,127",merge,manual_review,no,10521,Lingnan_Guishunzhou_Napo,0.473178
10413,13010,"87,61,182",manual_review,manual_review,no,13093,b_shuangchengzhou_southwest,0.649805
10414,13011,"111,93,163",merge,manual_review,no,12259,b_shuangchengzhou,0.403754
10415,13012,"93,143,163",merge,manual_review,no,12261,b_mingzhou_mingzhou,0.522228
10416,13013,"163,93,135",merge,manual_review,no,13153,b_qingzhou_4,0.527834
10417,Lake Maninjau,"163,93,109",merge,manual_review,no,11270,SUM_Muara_Takus,0.659016
10418,Lake Singkarak,"126,93,163",merge,manual_review,no,11270,SUM_Muara_Takus,0.432993
10419,Lake Ranau,"90,194,187",merge,manual_review,no,11298,SUM_Musi,0.660447
10420,Mae Klong,"142,190,118",merge,manual_review,no,12728,sea_gulf_of_siam,0.352012
10421,13014,"93,119,163",split,manual_review,no,13150,b_qingzhou_1,0.621464
10422,13015,"179,160,211",split,manual_review,no,12263,b_something_zangke_long,0.655671
10423,13016,"167,160,211",merge,manual_review,no,12262,b_qingzhou_qingzhou,0.412423
10424,13017,"68,85,161",manual_review,manual_review,no,13251,,0.478054
10425,13018,"95,68,161",merge,manual_review,no,13055,b_huizhou_huizhou_west,0.484538
10426,Barisan Mountains,"49,37,62",merge,manual_review,no,11430,THAI_Ranang,0.593244
10427,Pasai,"107,106,177",merge,manual_review,no,11256,SUM_Pasai,0.654232
10428,Kutambaru,"182,71,61",split,manual_review,no,11259,SUM_Medan,0.752279
10429,13019,"204,160,211",merge,manual_review,no,12375,b_zangke_long_tribe,0.418957
10430,Pesisir,"31,80,188",merge,manual_review,no,11239,IMPASSABLE Sumatra mountains 4,0.506271
10431,South Bengkulu,"93,161,163",merge,manual_review,no,11298,SUM_Musi,0.515957
10432,Lebong,"51,68,205",merge,manual_review,no,11291,SUM_Karang_Brahi,0.468882
10433,Mesuji,"131,175,134",merge,manual_review,no,11303,SUM_Baros,0.433106
10434,Maran Bera,"98,57,215",merge,manual_review,no,11407,MAL_Inderapura,0.505935
10435,Lipis,"215,57,167",merge,manual_review,no,11409,MAL_Saimwang,0.454991
10436,Kota Tinggi,"215,57,114",merge,manual_review,no,12762,sea_south_china,0.398742
10437,Rompin,"77,215,57",split,manual_review,no,11405,MAL_Kiuli,0.620379
10438,Kuala Langat,"115,96,181",merge,manual_review,no,11392,IMPASSABLE Malay Peninsula mountains 3,0.342198
10439,Klang,"139,96,181",merge,manual_review,no,11392,IMPASSABLE Malay Peninsula mountains 3,0.452442
10440,Sarawak,"68,101,129",merge,manual_review,no,12736,sea_north_natuna,0.622987
10441,Sedu,"37,19,113",merge,manual_review,no,12736,sea_north_natuna,0.644009
10442,Saribas,"19,113,108",merge,manual_review,no,11111,BOR_Sigalang,0.626728
10443,Kalka,"97,19,113",merge,manual_review,no,11110,BOR_Sibu,0.448084
10444,Melanau,"113,93,19",merge,manual_review,no,12756,sea_south_china,0.642684
10445,Sibu,"141,134,111",merge,manual_review,no,11110,BOR_Sibu,0.443334
10446,Tatau,"188,66,185",merge,manual_review,no,12756,sea_south_china,0.458357
10447,Sebauh,"188,66,97",merge,manual_review,no,12756,sea_south_china,0.618700
10448,Song,"66,130,188",merge,manual_review,no,11110,BOR_Sibu,0.661228
