source_province_id,source_rgb,target_province_id,target_rgb,classification,confidence,overlap_score,centroid_score,neighbor_score,source_root_title,source_kingdom,source_duchy,source_county,source_barony,apply_to_history,notes,status,source_name,target_name,target_coverage,overlap_pixels,source_pixel_count,target_pixel_count,candidate_count,name_score,top_candidates
6305,"6,171,180",12903,"255,143,219",merge,0.607926,0.920000,0.993514,0.100000,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,Mountains,Viet_Mountains_8,0.079386,414,450,5215,3,0.333333,1:12903:0.9200:0.0794 | 2:12506:0.0689:0.0299 | 3:11000:0.0111:0.0026
7269,"175,81,162",10478,"241,198,228",merge,0.361203,0.320329,0.991293,0.181818,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,Mountains,b_qianzhou_qianjiang,0.436975,468,1461,1071,7,0.000000,1:10478:0.3203:0.4370 | 2:13222:0.2649:0.4949 | 3:13051:0.1403:0.2767 | 4:10479:0.1321:0.2449 | 5:12078:0.0951:0.2496
7520,"7,195,60",11501,"68,58,34",merge,0.600114,1.000000,0.993114,0.000000,e_mongolia,k_mongolia,d_otuken,c_karakorum,b_longcheng,no,auto: best_target_shared_by_multiple_sources,manual_review,Longcheng,IMPASSABLE Yablonoi south,0.005354,14,14,2615,1,0.000000,1:11501:1.0000:0.0054
7570,"7,132,85",,,manual_review,0.000000,0.000000,0.000000,0.000000,e_mongolia,k_kerait,d_ovorkhangai,c_ongi,b_ongi,no,auto: no_overlap_candidate,manual_review,Ongi,,0.000000,0,684,0,0,0.000000,
7693,"133,75,174",11930,"12,27,12",merge,0.482336,0.714286,0.963933,0.142857,e_mongolia,k_merkit,d_uda_valley,c_ulan_ude,b_saranka,no,auto: best_target_shared_by_multiple_sources,manual_review,Saranka,IMPASSABLE Mongolian wasteland 1,0.001523,35,49,22978,2,0.000000,1:11930:0.7143:0.0015 | 2:11931:0.2857:0.0003
7696,"49,84,48",11930,"12,27,12",merge,0.598723,1.000000,0.973851,0.000000,e_mongolia,k_merkit,d_uda_valley,c_chikoy,b_oungo,no,auto: best_target_shared_by_multiple_sources,manual_review,Oungo,IMPASSABLE Mongolian wasteland 1,0.008922,205,205,22978,1,0.000000,1:11930:1.0000:0.0089
7700,"7,96,50",11931,"101,19,236",merge,0.595624,1.000000,0.953884,0.000000,e_mongolia,k_merkit,d_dauria,c_yera,b_yera,no,auto: best_target_shared_by_multiple_sources,manual_review,Yera,IMPASSABLE Mongolian wasteland 2,0.001569,75,75,47796,1,0.000000,1:11931:1.0000:0.0016
7714,"175,138,57",11931,"101,19,236",merge,0.593793,1.000000,0.937590,0.000000,e_kirghiz_khanate,k_buryatia,d_bargujin_tukum,c_vitim,b_vitim,no,auto: best_target_shared_by_multiple_sources,manual_review,Vitim,IMPASSABLE Mongolian wasteland 2,0.000230,11,11,47796,1,0.000000,1:11931:1.0000:0.0002
8338,"134,93,69",12521,"255,155,102",merge,0.611861,0.917323,0.988846,0.200000,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,,Viet_Mountains_2,0.095433,466,508,4883,2,0.000000,1:12521:0.9173:0.0954 | 2:12902:0.0827:0.0104
8543,"134,69,199",8543,"134,69,199",merge,0.773591,1.000000,0.994158,0.166667,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,GOBI DESERT,GOBI DESERT,0.605611,5224,5224,8626,1,1.000000,1:8543:1.0000:0.6056
8556,"50,108,78",8556,"50,108,78",manual_review,0.434952,0.213245,0.979562,0.222222,,,,,,no,auto: low_confidence,manual_review,HIMALAYA,HIMALAYA,0.906189,1391,6523,1535,27,1.000000,1:8556:0.2132:0.9062 | 2:10488:0.0963:0.4429 | 3:10978:0.0912:0.3662 | 4:10984:0.0898:0.2683 | 5:10990:0.0638:0.5599
8684,"176,66,42",8685,"8,69,170",merge,0.662554,1.000000,0.955815,0.076923,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,sea_bay_of_bengal,sea_bay_of_bengal,0.010582,201,201,18994,1,1.000000,1:8685:1.0000:0.0106
8685,"8,69,170",8685,"8,69,170",merge,0.976434,0.991846,0.998836,0.923077,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,sea_bay_of_bengal,sea_bay_of_bengal,0.973413,18489,18641,18994,5,1.000000,1:8685:0.9918:0.9734 | 2:8686:0.0079:0.0133 | 3:9632:0.0002:0.0033 | 4:9591:0.0001:0.0006 | 5:8687:0.0001:0.0000
8686,"50,72,43",8686,"50,72,43",split,0.718495,0.695816,0.987470,0.571429,,,,,,no,auto: top_two_overlap_share,manual_review,sea_gulf_martaban,sea_gulf_martaban,0.717030,7949,11424,11086,10,1.000000,1:8686:0.6958:0.7170 | 2:12768:0.2974:0.5134 | 3:9633:0.0033:0.0395 | 4:9626:0.0018:0.0118 | 5:9597:0.0007:0.0177
8687,"92,75,171",8687,"92,75,171",merge,0.761718,0.977035,0.973994,0.400000,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,sea_andaman,sea_andaman,0.305339,15401,15763,50439,3,1.000000,1:8687:0.9770:0.3053 | 2:8686:0.0214:0.0304 | 3:8685:0.0016:0.0013
8691,"50,87,173",12735,"116,127,232",merge,0.614384,1.000000,0.977011,0.000000,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,ANDAMAN SEA,sea_natuna,0.000111,2,2,17997,1,0.333333,1:12735:1.0000:0.0001
8722,"92,180,61",8722,"92,180,61",split,0.852979,0.786573,0.997481,1.000000,h_india,k_bengal_east,d_chattogram,c_chatigama,b_karnaphuli,no,auto: top_two_overlap_share,manual_review,Karnaphuli,Karnaphuli,0.732960,785,998,1071,4,1.000000,1:8722:0.7866:0.7330 | 2:854:0.1864:0.0951 | 3:828:0.0160:0.0251 | 4:829:0.0110:0.0114
9176,"51,51,88",9176,"51,51,88",split,0.792191,0.832543,0.999126,0.666667,h_india,k_lhomon,d_dzayul,c_golag,b_golag,no,auto: top_two_overlap_share,manual_review,Golag,Golag,0.617819,527,633,853,2,1.000000,1:9176:0.8325:0.6178 | 2:9177:0.1675:0.0829
9178,"135,57,89",9178,"135,57,89",merge,0.799307,1.000000,0.996172,0.375000,h_india,k_lhomon,d_dzayul,c_golag,b_goyu,no,auto: best_target_shared_by_multiple_sources,manual_review,Goyu,Goyu,0.497932,602,602,1209,1,1.000000,1:9178:1.0000:0.4979
9202,"93,129,1",10983,"226,167,204",merge,0.662797,0.842818,0.996983,0.500000,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,Mountains,Hpakant,0.277927,622,738,2238,2,0.000000,1:10983:0.8428:0.2779 | 2:10982:0.1572:0.0387
9252,"93,66,26",10905,"153,255,200",merge,0.441030,0.390194,0.992610,0.428571,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,Mountains,Weichu_Luopan,0.406383,382,979,940,6,0.000000,1:10905:0.3902:0.4064 | 2:11488:0.3493:0.2767 | 3:11476:0.1348:0.0979 | 4:10906:0.1236:0.0819 | 5:10890:0.0010:0.0006
9283,"135,159,169",9283,"135,159,169",manual_review,0.926530,1.000000,0.996955,1.000000,e_tibet,k_kham,d_boyul,c_zogang,b_kagong,no,auto: strong_but_not_exact,manual_review,Kagong,Kagong,0.512230,712,712,1390,1,1.000000,1:9283:1.0000:0.5122
9317,"93,48,186",9317,"93,48,186",split,0.732656,0.659870,0.996468,0.714286,h_china,k_dali,d_koksang,c_deqen,b_balung,no,auto: top_two_overlap_share,manual_review,Balung,Balung,0.734778,712,1079,969,6,1.000000,1:9317:0.6599:0.7348 | 2:10875:0.1854:0.1220 | 3:10876:0.0834:0.0510 | 4:9316:0.0556:0.0396 | 5:9322:0.0120:0.0110
9324,"177,69,62",9324,"177,69,62",merge,0.791907,1.000000,0.991899,0.400000,e_tibet,k_kham,d_litang,c_lenggu,b_lenggu,no,auto: best_target_shared_by_multiple_sources,manual_review,Lenggu,Lenggu,0.418112,868,868,2076,1,1.000000,1:9324:1.0000:0.4181
9328,"135,81,64",9328,"135,81,64",split,0.635735,0.531583,0.996545,0.500000,e_tibet,k_gyalrong,d_chakla,c_lhagang,b_gyezil,no,auto: top_two_overlap_share,manual_review,Gyezil,Gyezil,0.801927,749,1409,934,3,1.000000,1:9328:0.5316:0.8019 | 2:13231:0.4656:0.3172 | 3:10885:0.0028:0.0029
9329,"177,84,192",13231,"9,33,199",merge,0.498559,0.656968,0.989578,0.200000,e_tibet,k_gyalrong,d_chakla,c_chakla,b_jagsam,no,auto: best_target_shared_by_multiple_sources,manual_review,Jagsam,,0.207447,429,653,2068,6,0.000000,1:13231:0.6570:0.2074 | 2:12268:0.2067:0.1442 | 3:12277:0.0643:0.0433 | 4:12269:0.0475:0.0475 | 5:9330:0.0184:0.0166
9330,"9,87,65",9330,"9,87,65",split,0.756298,0.690291,0.997632,0.571429,e_tibet,k_gyalrong,d_chakla,c_chakla,b_darzedo,no,auto: top_two_overlap_share,manual_review,Darzedo,Darzedo,0.980690,711,1030,725,3,1.000000,1:9330:0.6903:0.9807 | 2:12277:0.2874:0.3052 | 3:13231:0.0223:0.0111
9331,"51,90,193",9331,"51,90,193",split,0.828091,0.658310,0.997773,1.000000,e_tibet,k_gyalrong,d_chakla,c_lhagang,b_lhagang,no,auto: top_two_overlap_share,manual_review,Lhagang,Lhagang,0.994390,709,1077,713,2,1.000000,1:9331:0.6583:0.9944 | 2:13231:0.3417:0.1779
9333,"135,96,194",9333,"135,96,194",split,0.755195,0.682379,0.997200,0.571429,e_tibet,k_gyalrong,d_chakla,c_chakla,b_rongzhag,no,auto: top_two_overlap_share,manual_review,Rongzhag,Rongzhag,1.000000,608,891,608,5,1.000000,1:9333:0.6824:1.0000 | 2:12277:0.2233:0.2052 | 3:9334:0.0842:0.0549 | 4:9466:0.0079:0.0169 | 5:9330:0.0022:0.0028
9359,"177,174,207",12440,"236,86,115",manual_review,0.462383,0.323448,0.996929,0.583333,,,,,,no,auto: low_confidence,manual_review,Mountains,b_cizhou_luxiang,0.561997,349,1079,621,9,0.000000,1:12440:0.3234:0.5620 | 2:12443:0.1733:0.2407 | 3:12246:0.1446:0.3243 | 4:12243:0.1399:0.2060 | 5:12442:0.1251:0.2482
9401,"51,87,128",12243,"44,230,84",merge,0.444022,0.365263,0.994719,0.454545,,,,,,no,auto: best_target_shared_by_multiple_sources,manual_review,Mountains,b_xizhou_xichuan,0.473397,347,950,733,6,0.000000,1:12243:0.3653:0.4734 | 2:12138:0.2695:0.3668 | 3:12244:0.1705:0.2365 | 4:12239:0.0705:0.0975 | 5:12242:0.0684:0.0667
9441,"51,207,148",12366,"24,3,61",merge,0.599032,1.000000,0.989074,0.000000,e_tibet,k_gyalrong,d_gainlho,c_jone,b_hzo,no,auto: best_target_shared_by_multiple_sources,manual_review,Hzo,CirQF_Longxi,0.000829,1,1,1207,1,0.000000,1:12366:1.0000:0.0008
9443,"135,0,149",9443,"135,0,149",merge,0.799797,0.900305,0.998794,0.375000,e_tibet,k_gyalrong,d_gainlho,c_jone,b_jone,no,auto: best_target_shared_by_multiple_sources,manual_review,Jone,Jone,0.831767,885,983,1064,2,1.000000,1:9443:0.9003:0.8318 | 2:12362:0.0997:0.1323
9445,"9,6,150",9445,"9,6,150",split,0.608093,0.518706,0.996585,0.363636,e_tibet,k_gyalrong,d_gainlho,c_tewo,b_zhugqu,no,auto: top_two_overlap_share,manual_review,Zhugqu,Zhugqu,0.842365,513,989,609,6,1.000000,1:9445:0.5187:0.8424 | 2:13200:0.2983:0.4332 | 3:8796:0.1244:0.2067 | 4:9454:0.0435:0.0503 | 5:12364:0.0101:0.0198
9454,"177,33,27",9454,"177,33,27",split,0.815432,0.646497,0.997270,1.000000,e_tibet,k_gyalrong,d_gyalrong,c_zoige,b_yunglro,no,auto: top_two_overlap_share,manual_review,Yunglro,Yunglro,0.949708,812,1256,855,2,1.000000,1:9454:0.6465:0.9497 | 2:13204:0.3535:0.1947
9456,"51,39,28",9456,"51,39,28",split,0.781228,0.667188,0.995993,0.750000,e_tibet,k_gyalrong,d_gyalrong,c_sungqu,b_sungqu,no,auto: top_two_overlap_share,manual_review,Sungqu,Sungqu,0.986903,1281,1920,1298,6,1.000000,1:9456:0.6672:0.9869 | 2:10322:0.1969:0.5915 | 3:12535:0.1224:0.3210 | 4:7115:0.0068:0.0193 | 5:13204:0.0063:0.0053
9457,"93,42,156",9457,"93,42,156",merge,0.830391,0.889226,0.998313,0.571429,e_tibet,k_gyalrong,d_gyalrong,c_sungqu,b_choqu,no,auto: best_target_shared_by_multiple_sources,manual_review,Choqu,Choqu,0.811073,1172,1318,1445,3,1.000000,1:9457:0.8892:0.8111 | 2:12535:0.1077:0.1940 | 3:13218:0.0030:0.0021
9458,"135,45,29",12535,"66,214,238",manual_review,0.492246,0.411356,0.995370,0.571429,e_tibet,k_gyalrong,d_gyalrong,c_maowun,b_maowun,no,auto: low_confidence,manual_review,Maowun,b_xunzhou_ehe,0.484973,355,863,732,7,0.000000,1:12535:0.4114:0.4850 | 2:7115:0.3824:0.4889 | 3:13218:0.1935:0.0861 | 4:12286:0.0081:0.0131 | 5:10322:0.0023:0.0031
9459,"177,48,157",7115,"224,35,109",manual_review,0.373773,0.310112,0.991610,0.444444,e_tibet,k_gyalrong,d_gyalrong,c_maowun,b_sumshul,no,auto: low_confidence,manual_review,Sumshul,b_maozhou_wenshan,0.204444,138,445,675,5,0.000000,1:7115:0.3101:0.2044 | 2:10322:0.2809:0.1956 | 3:7269:0.2787:0.2446 | 4:13204:0.1056:0.0206 | 5:12286:0.0247:0.0206
9460,"9,51,30",12287,"45,161,137",manual_review,0.405815,0.318608,0.995350,0.375000,e_tibet,k_gyalrong,d_gyalrong,c_maowun,b_wunchoin,no,auto: low_confidence,manual_review,Wunchoin,b_siqiongzhou_yuexi,0.479839,238,747,496,5,0.000000,1:12287:0.3186:0.4798 | 2:7115:0.2396:0.2652 | 3:12453:0.1928:0.2812 | 4:12534:0.1258:0.1409 | 5:13218:0.1232:0.0474
9465,"9,66,160",13218,"174,67,132",merge,0.417736,0.475915,0.991321,0.307692,e_tibet,k_gyalrong,d_gyalrong,c_quqen,b_trashingling,no,auto: best_target_shared_by_multiple_sources,manual_review,Trashingling,,0.127385,247,519,1939,5,0.000000,1:13218:0.4759:0.1274 | 2:9465:0.4316:0.9573 | 3:12287:0.0713:0.0746 | 4:9457:0.0116:0.0042 | 5:7115:0.0096:0.0074
9466,"51,69,33",9466,"51,69,33",manual_review,0.666685,0.549020,0.998022,0.500000,e_tibet,k_gyalrong,d_gyalrong,c_quqen,b_zainlha,no,auto: strong_but_not_exact,manual_review,Zainlha,Zainlha,0.949153,392,714,413,3,1.000000,1:9466:0.5490:0.9492 | 2:12277:0.2395:0.1763 | 3:13218:0.2115:0.0779
9532,"93,54,66",9533,"135,57,194",merge,0.697702,0.952342,0.993763,0.250000,h_china,k_xia,d_zhenfan,c_tenggeli,b_nanhu,no,auto: best_target_shared_by_multiple_sources,manual_review,Nanhu,Chaganbulage,0.481028,1179,1238,2451,2,0.000000,1:9533:0.9523:0.4810 | 2:9535:0.0477:0.0409
9533,"135,57,194",9533,"135,57,194",merge,0.545191,0.502966,0.991954,0.333333,h_china,k_xia,d_zhenfan,c_tenggeli,b_chaganbulage,no,auto: best_target_shared_by_multiple_sources,manual_review,Chaganbulage,Chaganbulage,0.518972,1272,2529,2451,4,1.000000,1:9533:0.5030:0.5190 | 2:9535:0.4808:0.8427 | 3:8543:0.0142:0.0042 | 4:9534:0.0020:0.0046
9534,"177,60,67",9534,"177,60,67",merge,0.564642,0.601290,0.993943,0.250000,h_china,k_xia_china,d_xia,c_shunzhou,b_shapotou,no,auto: best_target_shared_by_multiple_sources,manual_review,Shapotou,Shapotou,0.430684,466,775,1082,4,1.000000,1:9534:0.6013:0.4307 | 2:12959:0.3290:0.4329 | 3:12962:0.0361:0.0439 | 4:13087:0.0335:0.0357
9535,"9,63,195",9534,"177,60,67",merge,0.473604,0.480190,0.994983,0.250000,h_china,k_xia,d_zhenfan,c_tenggeli,b_chaogetuhure,no,auto: best_target_shared_by_multiple_sources,manual_review,Chaogetuhure,Shapotou,0.560074,606,1262,1082,4,0.000000,1:9534:0.4802:0.5601 | 2:8543:0.3241:0.0474 | 3:9535:0.1331:0.1164 | 4:12959:0.0626:0.1341
9536,"51,66,68",8543,"134,69,199",merge,0.603686,0.811304,0.984765,0.416667,h_china,k_xia_china,d_xia,c_xingqing,b_dingyuanying,no,auto: best_target_shared_by_multiple_sources,manual_review,Dingyuanying,GOBI DESERT,0.108161,933,1150,8626,5,0.000000,1:8543:0.8113:0.1082 | 2:13086:0.1591:0.2296 | 3:12159:0.0165:0.0226 | 4:12957:0.0104:0.0186 | 5:12959:0.0026:0.0051
9538,"135,72,69",12973,"4,202,199",split,0.611907,0.535126,0.996153,0.750000,h_china,k_xia,d_wuluhai,c_langshan,b_wuyuan,no,auto: top_two_overlap_share,manual_review,Wuyuan,b_fengzhou_north,0.631525,617,1153,977,4,0.000000,1:12973:0.5351:0.6315 | 2:9538:0.3400:0.4490 | 3:9537:0.0729:0.0799 | 4:10442:0.0520:0.0125
9540,"9,78,70",8543,"134,69,199",merge,0.440737,0.567719,0.979720,0.153846,h_china,k_xia,d_wuluhai,c_wuda,b_zhongcun,no,auto: best_target_shared_by_multiple_sources,manual_review,Zhongcun,GOBI DESERT,0.187572,1618,2850,8626,4,0.000000,1:8543:0.5677:0.1876 | 2:9540:0.4316:0.8356 | 3:12961:0.0004:0.0009 | 4:9539:0.0004:0.0007
9542,"93,84,71",12961,"90,34,159",manual_review,0.528357,0.457540,0.993762,0.375000,h_china,k_xia,d_wuluhai,c_wuda,b_helan,no,auto: low_confidence,manual_review,Wuda,b_lingzhou_dingyuan_north,0.834742,889,1943,1065,5,0.000000,1:12961:0.4575:0.8347 | 2:12158:0.2594:0.9114 | 3:8543:0.1601:0.0361 | 4:9540:0.1209:0.1596 | 5:9539:0.0021:0.0029
9543,"135,87,199",12960,"4,143,173",split,0.710564,0.728411,0.998826,0.500000,h_china,k_xia_china,d_xia,c_xingqing,b_huaiyuan,no,auto: top_two_overlap_share,manual_review,Shizuizi,b_lingzhou_huaiyuan,0.976510,582,799,596,4,0.000000,1:12960:0.7284:0.9765 | 2:12957:0.1076:0.1331 | 3:8543:0.1064:0.0099 | 4:12158:0.0576:0.0832
9544,"177,90,72",12957,"254,194,76",split,0.645336,0.581758,0.996846,0.666667,h_china,k_xia_china,d_xia,c_xingqing,b_baojing,no,auto: top_two_overlap_share,manual_review,Dingzhou,b_weizhou_mingsha_north,0.809598,523,899,646,4,0.000000,1:12957:0.5818:0.8096 | 2:12159:0.4004:0.4291 | 3:12960:0.0089:0.0134 | 4:8543:0.0089:0.0009
9545,"9,93,200",13086,"201,165,189",split,0.612144,0.617992,0.996525,0.571429,h_china,k_xia_china,d_xia,c_shunzhou,b_shunzhou,no,auto: top_two_overlap_share,manual_review,Shunzhou,b_xiongzhou_changhua_east,0.594730,474,767,797,5,0.000000,1:13086:0.6180:0.5947 | 2:12959:0.3286:0.4278 | 3:12160:0.0196:0.0193 | 4:13140:0.0183:0.0295 | 5:13087:0.0156:0.0165
9546,"51,96,73",12159,"105,143,20",split,0.713654,0.743922,0.996307,0.800000,h_china,k_xia_china,d_xia,c_xingqing,b_huile,no,auto: top_two_overlap_share,manual_review,Xingqing,b_lingzhou_lingwu,0.547080,459,617,839,4,0.000000,1:12159:0.7439:0.5471 | 2:13086:0.2269:0.1757 | 3:13140:0.0259:0.0337 | 4:8543:0.0032:0.0002
9547,"93,99,201",13140,"245,241,94",manual_review,0.486878,0.347656,0.997963,0.363636,h_china,k_xia_china,d_xia,c_shunzhou,b_yaode,no,auto: low_confidence,manual_review,Xiping,b_xiongzhou_changhua_north_2,0.936842,445,1280,475,5,0.000000,1:13140:0.3477:0.9368 | 2:12157:0.3125:0.4310 | 3:12160:0.2461:0.4059 | 4:13089:0.0930:0.1919 | 5:12159:0.0008:0.0012
9550,"9,108,75",9550,"9,108,75",merge,0.639946,0.765714,0.995689,0.333333,e_burma,k_pagan,d_pagan,c_pagan,b_pagan,no,auto: best_target_shared_by_multiple_sources,manual_review,Pagan,Pagan,0.272358,134,175,492,2,1.000000,1:9550:0.7657:0.2724 | 2:9552:0.2343:0.0807
9551,"51,111,203",9551,"51,111,203",split,0.674048,0.620690,0.996923,0.666667,e_burma,k_pagan,d_pagan,c_pagan,b_popa,no,auto: top_two_overlap_share,manual_review,Popa,Popa,0.537849,270,435,502,4,1.000000,1:9551:0.6207:0.5378 | 2:9552:0.2115:0.1811 | 3:9573:0.1149:0.0683 | 4:9560:0.0529:0.0269
9553,"135,117,204",9553,"135,117,204",merge,0.649663,0.798913,0.993866,0.375000,e_burma,k_pagan,d_pagan,c_salin,b_tantkyitaung,no,auto: best_target_shared_by_multiple_sources,manual_review,Tantkyitaung,Tantkyitaung,0.172131,294,368,1708,2,1.000000,1:9553:0.7989:0.1721 | 2:9554:0.2011:0.0802
9554,"176,120,80",9563,"135,147,209",merge,0.741133,0.982906,0.996803,0.500000,e_burma,k_pagan,d_pagan,c_salin,b_salin,no,auto: best_target_shared_by_multiple_sources,manual_review,Myitche,Salin,0.333333,345,351,1035,2,0.000000,1:9563:0.9829:0.3333 | 2:9553:0.0171:0.0035
9555,"9,123,205",9554,"177,120,77",split,0.853710,0.972093,0.997332,1.000000,e_burma,k_pagan,d_pagan,c_pakokku,b_pakokku,no,auto: top_two_overlap_share,manual_review,Powundaung,Myitche,0.452871,418,430,923,3,0.000000,1:9554:0.9721:0.4529 | 2:8610:0.0256:0.0250 | 3:9639:0.0023:0.0011
9556,"51,126,78",9556,"51,126,78",split,0.924979,0.996656,0.998466,1.000000,e_burma,k_pagan,d_maingmaw,c_maingmaw,b_ava,no,auto: top_two_overlap_share,manual_review,Ava,Ava,0.512027,298,299,582,2,1.000000,1:9556:0.9967:0.5120 | 2:9559:0.0033:0.0014
9557,"93,129,206",9557,"93,129,206",merge,0.761247,0.860806,0.998096,0.500000,e_burma,k_pagan,d_maingmaw,c_maingmaw,b_myingyan,no,auto: best_target_shared_by_multiple_sources,manual_review,Pinya,Pinya,0.540230,235,273,435,3,1.000000,1:9557:0.8608:0.5402 | 2:9556:0.0842:0.0395 | 3:9552:0.0549:0.0295
9559,"177,135,207",9557,"93,129,206",merge,0.474480,0.351005,0.994372,0.666667,e_burma,k_pagan,d_maingmaw,c_maingmaw,b_maingmaw,no,auto: best_target_shared_by_multiple_sources,manual_review,Kyaukse,Pinya,0.441379,192,547,435,5,0.000000,1:9557:0.3510:0.4414 | 2:9556:0.2578:0.2423 | 3:9559:0.2102:0.1650 | 4:9560:0.1773:0.1135 | 5:9552:0.0037:0.0039
9561,"51,141,208",9561,"51,141,208",split,0.751685,0.737500,0.997897,0.666667,e_burma,k_pagan,d_maingmaw,c_kyaukse,b_remyo,no,auto: top_two_overlap_share,manual_review,Mekkhaya,Mekkhaya,0.665414,354,480,532,4,1.000000,1:9561:0.7375:0.6654 | 2:10965:0.1313:0.0337 | 3:10975:0.0708:0.0115 | 4:9559:0.0604:0.0416
9562,"93,144,81",9562,"93,144,81",split,0.877908,0.961702,0.999101,0.800000,e_burma,k_pagan,d_pagan,c_minbu,b_shwesettaw,no,auto: top_two_overlap_share,manual_review,Minbu,Minbu,0.580977,452,470,778,3,1.000000,1:9562:0.9617:0.5810 | 2:9563:0.0362:0.0164 | 3:9564:0.0021:0.0022
9563,"135,147,209",9563,"135,147,209",merge,0.666883,0.823171,0.995004,0.333333,e_burma,k_pagan,d_pagan,c_minbu,b_minbu,no,auto: best_target_shared_by_multiple_sources,manual_review,Salin,Salin,0.260870,270,328,1035,2,1.000000,1:9563:0.8232:0.2609 | 2:9562:0.1768:0.0746
9564,"177,150,82",9564,"177,150,82",split,0.713986,0.723776,0.997647,0.666667,e_burma,k_pagan,d_pagan,c_mindon,b_ngape,no,auto: top_two_overlap_share,manual_review,Ngape,Ngape,0.460000,207,286,450,3,1.000000,1:9564:0.7238:0.4600 | 2:9562:0.2098:0.0771 | 3:9565:0.0664:0.0291
