source_province_id,source_rgb,source_name,candidate_rank,target_province_id,target_rgb,target_name,overlap_pixels,overlap_score,target_coverage
1468,"127,144,34",Eastern Wasteland 3,5,12764,"36,83,162",sea_pacific_ocean,547,0.028879,0.000246
1469,"169,147,162",Eastern Wasteland 2,1,8892,"210,53,78",b_guangzhou_nanhai,7,0.636364,0.006897
1469,"169,147,162",Eastern Wasteland 2,2,8922,"213,6,219",b_xinzhou_yongshun,4,0.363636,0.004723
1470,"1,150,35",Eastern Wasteland 4,1,12738,"19,27,244",sea_indian_ocean,2,0.666667,0.000086
1470,"1,150,35",Eastern Wasteland 4,2,11361,"117,99,122",JAV_Sampang,1,0.333333,0.001258
1488,"127,204,44",RUSSIAN LAKES 4,1,11740,"37,17,232",FIC_Liao_Shuangliao,112,0.991150,0.086957
1488,"127,204,44",RUSSIAN LAKES 4,2,11777,"1,102,63",Liao_Suzhou,1,0.008850,0.000676
1496,"43,15,48",LAKES EAST OF BURMA,1,10938,"58,181,94",Sakhon_Nakhon,16,1.000000,0.009697
4885,"4,171,170",Mountains,1,13268,"159,111,3",,211,0.827451,0.226882
4885,"4,171,170",Mountains,2,11500,"110,153,153",Son_La_West,41,0.160784,0.064567
4885,"4,171,170",Mountains,3,11445,"134,90,155",Son_La,3,0.011765,0.002683
6305,"6,171,180",Mountains,1,12903,"255,143,219",Viet_Mountains_8,414,0.920000,0.079386
6305,"6,171,180",Mountains,2,12506,"214,109,179",Binh_Long_2,31,0.068889,0.029923
6305,"6,171,180",Mountains,3,11000,"132,110,78",Ea_Sup,5,0.011111,0.002559
7269,"175,81,162",Mountains,1,10478,"241,198,228",b_qianzhou_qianjiang,468,0.320329,0.436975
7269,"175,81,162",Mountains,2,13222,"204,211,126",,387,0.264887,0.494885
7269,"175,81,162",Mountains,3,13051,"181,216,246",b_shizhou_qingjiang_west,205,0.140315,0.276653
7269,"175,81,162",Mountains,4,10479,"73,213,124",b_qianzhou_pengshui,193,0.132101,0.244924
7269,"175,81,162",Mountains,5,12078,"202,20,17",b_fuzhou_wulong,139,0.095140,0.249551
7520,"7,195,60",Longcheng,1,11501,"68,58,34",IMPASSABLE Yablonoi south,14,1.000000,0.005354
7693,"133,75,174",Saranka,1,11930,"12,27,12",IMPASSABLE Mongolian wasteland 1,35,0.714286,0.001523
7693,"133,75,174",Saranka,2,11931,"101,19,236",IMPASSABLE Mongolian wasteland 2,14,0.285714,0.000293
7696,"49,84,48",Oungo,1,11930,"12,27,12",IMPASSABLE Mongolian wasteland 1,205,1.000000,0.008922
7700,"7,96,50",Yera,1,11931,"101,19,236",IMPASSABLE Mongolian wasteland 2,75,1.000000,0.001569
7714,"175,138,57",Vitim,1,11931,"101,19,236",IMPASSABLE Mongolian wasteland 2,11,1.000000,0.000230
8338,"134,93,69",,1,12521,"255,155,102",Viet_Mountains_2,466,0.917323,0.095433
8338,"134,93,69",,2,12902,"255,143,83",Viet_Mountains_7,42,0.082677,0.010373
8543,"134,69,199",GOBI DESERT,1,8543,"134,69,199",GOBI DESERT,5224,1.000000,0.605611
8556,"50,108,78",HIMALAYA,1,8556,"50,108,78",HIMALAYA,1391,0.213245,0.906189
8556,"50,108,78",HIMALAYA,2,10488,"136,153,44",Patkai Hills,628,0.096275,0.442877
8556,"50,108,78",HIMALAYA,3,10978,"204,146,172",Hkawlanghu,595,0.091216,0.366154
8556,"50,108,78",HIMALAYA,4,10984,"165,86,226",Danai,586,0.089836,0.268315
8556,"50,108,78",HIMALAYA,5,10990,"204,142,195",Chihpwi,416,0.063774,0.559892
8606,"50,45,3",river_irrawaddy_delta,1,8606,"50,45,3",river_irrawaddy_delta,158,0.868132,0.863388
8606,"50,45,3",river_irrawaddy_delta,2,9626,"51,123,13",Bogale,23,0.126374,0.013585
8606,"50,45,3",river_irrawaddy_delta,3,8686,"50,72,43",sea_gulf_martaban,1,0.005495,0.000090
8607,"92,48,131",river_irrawaddy_delta,1,8607,"92,48,131",river_irrawaddy_delta,146,0.811111,0.811111
8607,"92,48,131",river_irrawaddy_delta,2,9626,"51,123,13",Bogale,31,0.172222,0.018311
8607,"92,48,131",river_irrawaddy_delta,3,8686,"50,72,43",sea_gulf_martaban,3,0.016667,0.000271
8608,"134,51,4",river_irrawaddy,1,8608,"134,51,4",river_irrawaddy,449,0.885602,0.885602
8608,"134,51,4",river_irrawaddy,2,9592,"93,21,96",Myanaung,22,0.043393,0.013724
8608,"134,51,4",river_irrawaddy,3,9591,"51,18,223",Hinthada,18,0.035503,0.010626
8608,"134,51,4",river_irrawaddy,4,9588,"135,9,94",Sriksetra,6,0.011834,0.004687
8608,"134,51,4",river_irrawaddy,5,9635,"9,150,145",Tharrawaddy,5,0.009862,0.004032
8609,"176,54,132",river_irrawaddy,1,8609,"176,54,132",river_irrawaddy,413,0.926009,0.926009
8609,"176,54,132",river_irrawaddy,2,9562,"93,144,81",Minbu,14,0.031390,0.017995
8609,"176,54,132",river_irrawaddy,3,9565,"9,153,210",Shwesettaw,8,0.017937,0.012251
8609,"176,54,132",river_irrawaddy,4,9590,"9,15,95",Thayetmyo,6,0.013453,0.004515
8609,"176,54,132",river_irrawaddy,5,8608,"134,51,4",river_irrawaddy,4,0.008969,0.007890
8610,"8,57,5",river_irrawaddy,1,8610,"8,57,5",river_irrawaddy,397,0.902273,0.902273
8610,"8,57,5",river_irrawaddy,2,9556,"51,126,78",Ava,20,0.045455,0.034364
8610,"8,57,5",river_irrawaddy,3,9552,"93,114,76",Nyaung_U,14,0.031818,0.027559
8610,"8,57,5",river_irrawaddy,4,9557,"93,129,206",Pinya,8,0.018182,0.018391
8610,"8,57,5",river_irrawaddy,5,9550,"9,108,75",Pagan,1,0.002273,0.002033
8611,"50,60,133",river_irrawaddy,1,8611,"50,60,133",river_irrawaddy,330,0.916667,0.916667
8611,"50,60,133",river_irrawaddy,2,9568,"135,162,84",Sagaing,9,0.025000,0.014682
8611,"50,60,133",river_irrawaddy,3,9558,"135,132,79",Taungbyon,7,0.019444,0.013258
8611,"50,60,133",river_irrawaddy,4,9569,"177,165,212",Halin,4,0.011111,0.005510
8611,"50,60,133",river_irrawaddy,5,9641,"51,168,148",Singu,3,0.008333,0.003932
8684,"176,66,42",sea_bay_of_bengal,1,8685,"8,69,170",sea_bay_of_bengal,201,1.000000,0.010582
8685,"8,69,170",sea_bay_of_bengal,1,8685,"8,69,170",sea_bay_of_bengal,18489,0.991846,0.973413
8685,"8,69,170",sea_bay_of_bengal,2,8686,"50,72,43",sea_gulf_martaban,147,0.007886,0.013260
8685,"8,69,170",sea_bay_of_bengal,3,9632,"93,141,16",Kusumi,3,0.000161,0.003254
8685,"8,69,170",sea_bay_of_bengal,4,9591,"51,18,223",Hinthada,1,0.000054,0.000590
8685,"8,69,170",sea_bay_of_bengal,5,8687,"92,75,171",sea_andaman,1,0.000054,0.000020
8686,"50,72,43",sea_gulf_martaban,1,8686,"50,72,43",sea_gulf_martaban,7949,0.695816,0.717030
8686,"50,72,43",sea_gulf_martaban,2,12768,"49,27,244",sea_gulf_martaban,3397,0.297356,0.513375
8686,"50,72,43",sea_gulf_martaban,3,9633,"135,144,144",Myaungmya,38,0.003326,0.039542
8686,"50,72,43",sea_gulf_martaban,4,9626,"51,123,13",Bogale,20,0.001751,0.011813
8686,"50,72,43",sea_gulf_martaban,5,9597,"93,36,226",Syriam,8,0.000700,0.017738
8687,"92,75,171",sea_andaman,1,8687,"92,75,171",sea_andaman,15401,0.977035,0.305339
8687,"92,75,171",sea_andaman,2,8686,"50,72,43",sea_gulf_martaban,337,0.021379,0.030399
8687,"92,75,171",sea_andaman,3,8685,"8,69,170",sea_bay_of_bengal,25,0.001586,0.001316
8691,"50,87,173",ANDAMAN SEA,1,12735,"116,127,232",sea_natuna,2,1.000000,0.000111
8722,"92,180,61",Karnaphuli,1,8722,"92,180,61",Karnaphuli,785,0.786573,0.732960
8722,"92,180,61",Karnaphuli,2,854,"169,90,12",Tlawng,186,0.186373,0.095092
8722,"92,180,61",Karnaphuli,3,828,"126,141,14",Chatigama,16,0.016032,0.025078
8722,"92,180,61",Karnaphuli,4,829,"168,144,142",Candranatha,11,0.011022,0.011423
9168,"135,27,84",Hawai,1,9168,"135,27,84",Hawai,953,0.988589,0.994781
9168,"135,27,84",Hawai,2,8556,"50,108,78",HIMALAYA,6,0.006224,0.003909
9168,"135,27,84",Hawai,3,10979,"204,197,65",Putao,5,0.005187,0.002565
9174,"177,45,87",Zayu,1,9174,"177,45,87",Zayu,1590,1.000000,0.877483
9175,"9,48,215",Rima,1,9175,"9,48,215",Rima,602,1.000000,0.740467
9176,"51,51,88",Golag,1,9176,"51,51,88",Golag,527,0.832543,0.617819
9176,"51,51,88",Golag,2,9177,"93,54,216",Cawarong,106,0.167457,0.082942
9177,"93,54,216",Cawarong,1,9177,"93,54,216",Cawarong,962,1.000000,0.752739
9178,"135,57,89",Goyu,1,9178,"135,57,89",Goyu,602,1.000000,0.497932
9202,"93,129,1",Mountains,1,10983,"226,167,204",Hpakant,622,0.842818,0.277927
9202,"93,129,1",Mountains,2,10982,"96,226,79",Monyin,116,0.157182,0.038667
9252,"93,66,26",Mountains,1,10905,"153,255,200",Weichu_Luopan,382,0.390194,0.406383
9252,"93,66,26",Mountains,2,11488,"251,175,255",Weichu_North,342,0.349336,0.276699
9252,"93,66,26",Mountains,3,11476,"158,161,255",Xuchu,132,0.134831,0.097923
9252,"93,66,26",Mountains,4,10906,"255,170,155",Weichu_Yinyuan,121,0.123596,0.081867
9252,"93,66,26",Mountains,5,10890,"175,204,247",Xiushan_Qixi,1,0.001021,0.000616
9281,"51,153,168",Baxoi,1,9281,"51,153,168",Baxoi,992,0.997988,0.982178
9281,"51,153,168",Baxoi,2,9283,"135,159,169",Kagong,2,0.002012,0.001439
9282,"93,156,41",Zogang,1,9282,"93,156,41",Zogang,957,1.000000,0.715782
9283,"135,159,169",Kagong,1,9283,"135,159,169",Kagong,712,1.000000,0.512230
9315,"9,42,185",Jangpa,1,9315,"9,42,185",Jangpa,1004,1.000000,0.976654
9316,"51,45,58",Deqen,1,9316,"51,45,58",Deqen,1425,1.000000,0.941215
9317,"93,48,186",Balung,1,9317,"93,48,186",Balung,712,0.659870,0.734778
9317,"93,48,186",Balung,2,10875,"158,211,255",,200,0.185357,0.121951
9317,"93,48,186",Balung,3,10876,"175,255,189",Moutong_Lanxi,90,0.083411,0.051049
9317,"93,48,186",Balung,4,9316,"51,45,58",Deqen,60,0.055607,0.039630
9317,"93,48,186",Balung,5,9322,"93,63,61",Takchongrong,13,0.012048,0.010998
9318,"135,51,59",Gyaitang,1,9318,"135,51,59",Gyaitang,1765,0.999434,0.997739
9318,"135,51,59",Gyaitang,2,9316,"51,45,58",Deqen,1,0.000566,0.000661
9319,"177,54,187",Derong,1,9319,"177,54,187",Derong,858,1.000000,1.000000
9320,"9,57,60",Dabba_Tibet,1,9320,"9,57,60",Dabba_Tibet,1560,1.000000,0.975610
9321,"51,60,188",Qagcheng,1,9321,"51,60,188",Qagcheng,1262,1.000000,0.953893
9322,"93,63,61",Takchongrong,1,9322,"93,63,61",Takchongrong,1112,1.000000,0.940778
9324,"177,69,62",Lenggu,1,9324,"177,69,62",Lenggu,868,1.000000,0.418112
9328,"135,81,64",Gyezil,1,9328,"135,81,64",Gyezil,749,0.531583,0.801927
9328,"135,81,64",Gyezil,2,13231,"9,33,199",,656,0.465578,0.317215
9328,"135,81,64",Gyezil,3,10885,"255,114,107",Shanju_Ruku,4,0.002839,0.002894
9329,"177,84,192",Jagsam,1,13231,"9,33,199",,429,0.656968,0.207447
9329,"177,84,192",Jagsam,2,12268,"130,86,115",b_wudeng_tribe,135,0.206738,0.144231
9329,"177,84,192",Jagsam,3,12277,"201,252,32",b_yaochuan_yaochuan,42,0.064319,0.043299
9329,"177,84,192",Jagsam,4,12269,"134,39,220",b_nuozuo_nuozuo,31,0.047473,0.047473
9329,"177,84,192",Jagsam,5,9330,"9,87,65",Darzedo,12,0.018377,0.016552
9330,"9,87,65",Darzedo,1,9330,"9,87,65",Darzedo,711,0.690291,0.980690
9330,"9,87,65",Darzedo,2,12277,"201,252,32",b_yaochuan_yaochuan,296,0.287379,0.305155
9330,"9,87,65",Darzedo,3,13231,"9,33,199",,23,0.022330,0.011122
9331,"51,90,193",Lhagang,1,9331,"51,90,193",Lhagang,709,0.658310,0.994390
9331,"51,90,193",Lhagang,2,13231,"9,33,199",,368,0.341690,0.177950
9332,"93,93,66",Shade,1,9332,"93,93,66",Shade,748,1.000000,1.000000
9333,"135,96,194",Rongzhag,1,9333,"135,96,194",Rongzhag,608,0.682379,1.000000
9333,"135,96,194",Rongzhag,2,12277,"201,252,32",b_yaochuan_yaochuan,199,0.223345,0.205155
9333,"135,96,194",Rongzhag,3,9334,"177,99,67",Dawu,75,0.084175,0.054945
9333,"135,96,194",Rongzhag,4,9466,"51,69,33",Zainlha,7,0.007856,0.016949
9333,"135,96,194",Rongzhag,5,9330,"9,87,65",Darzedo,2,0.002245,0.002759
9334,"177,99,67",Dawu,1,9334,"177,99,67",Dawu,1290,1.000000,0.945055
9353,"135,156,204",Dewu,1,9353,"135,156,204",Dewu,792,1.000000,1.000000
9359,"177,174,207",Mountains,1,12440,"236,86,115",b_cizhou_luxiang,349,0.323448,0.561997
9359,"177,174,207",Mountains,2,12443,"58,156,2",b_jiangzhou_zhengping,187,0.173309,0.240669
9359,"177,174,207",Mountains,3,12246,"104,148,29",b_xizhou_pu,156,0.144578,0.324324
9359,"177,174,207",Mountains,4,12243,"44,230,84",b_xizhou_xichuan,151,0.139944,0.206003
9359,"177,174,207",Mountains,5,12442,"96,100,14",b_jiangzhou_longmen,135,0.125116,0.248162
9401,"51,87,128",Mountains,1,12243,"44,230,84",b_xizhou_xichuan,347,0.365263,0.473397
9401,"51,87,128",Mountains,2,12138,"123,204,158",b_shizhou_lishi,256,0.269474,0.366762
9401,"51,87,128",Mountains,3,12244,"169,223,1",b_xizhou_shilou,162,0.170526,0.236496
9401,"51,87,128",Mountains,4,12239,"249,180,155",b_fenzhou_xihe,67,0.070526,0.097525
9401,"51,87,128",Mountains,5,12242,"128,240,140",b_jinzhou_fenxi,65,0.068421,0.066735
9441,"51,207,148",Hzo,1,12366,"24,3,61",CirQF_Longxi,1,1.000000,0.000829
9442,"93,210,21",Linten,1,9442,"93,210,21",Linten,1030,1.000000,0.983763
9443,"135,0,149",Jone,1,9443,"135,0,149",Jone,885,0.900305,0.831767
9443,"135,0,149",Jone,2,12362,"63,47,132",CirQF_Luchanzhai,98,0.099695,0.132254
9444,"177,3,22",Tewo,1,9444,"177,3,22",Tewo,971,1.000000,0.898242
9445,"9,6,150",Zhugqu,1,9445,"9,6,150",Zhugqu,513,0.518706,0.842365
9445,"9,6,150",Zhugqu,2,13200,"29,193,87",,295,0.298281,0.433186
9445,"9,6,150",Zhugqu,3,8796,"210,4,227",b_wenzhou_qushui,123,0.124368,0.206723
9445,"9,6,150",Zhugqu,4,9454,"177,33,27",Yunglro,43,0.043478,0.050292
9445,"9,6,150",Zhugqu,5,12364,"211,195,221",CirQF_Pingluo,10,0.010111,0.019763
9451,"51,24,153",Ngawa,1,9451,"51,24,153",Ngawa,1760,1.000000,1.000000
9453,"135,30,154",Zoige,1,9453,"135,30,154",Zoige,2890,1.000000,1.000000
9454,"177,33,27",Yunglro,1,9454,"177,33,27",Yunglro,812,0.646497,0.949708
9454,"177,33,27",Yunglro,2,13204,"237,97,110",,444,0.353503,0.194737
9455,"9,36,155",Khyungchu,1,9455,"9,36,155",Khyungchu,2408,1.000000,1.000000
9456,"51,39,28",Sungqu,1,9456,"51,39,28",Sungqu,1281,0.667188,0.986903
9456,"51,39,28",Sungqu,2,10322,"205,73,209",b_jingzhou_something,378,0.196875,0.591549
9456,"51,39,28",Sungqu,3,12535,"66,214,238",b_xunzhou_ehe,235,0.122396,0.321038
9456,"51,39,28",Sungqu,4,7115,"224,35,109",b_maozhou_wenshan,13,0.006771,0.019259
9456,"51,39,28",Sungqu,5,13204,"237,97,110",,12,0.006250,0.005263
9457,"93,42,156",Choqu,1,9457,"93,42,156",Choqu,1172,0.889226,0.811073
9457,"93,42,156",Choqu,2,12535,"66,214,238",b_xunzhou_ehe,142,0.107739,0.193989
9457,"93,42,156",Choqu,3,13218,"174,67,132",,4,0.003035,0.002063
9458,"135,45,29",Maowun,1,12535,"66,214,238",b_xunzhou_ehe,355,0.411356,0.484973
9458,"135,45,29",Maowun,2,7115,"224,35,109",b_maozhou_wenshan,330,0.382387,0.488889
9458,"135,45,29",Maowun,3,13218,"174,67,132",,167,0.193511,0.086127
9458,"135,45,29",Maowun,4,12286,"253,145,226",b_pengzhou_jiulong,7,0.008111,0.013109
9458,"135,45,29",Maowun,5,10322,"205,73,209",b_jingzhou_something,2,0.002317,0.003130
9459,"177,48,157",Sumshul,1,7115,"224,35,109",b_maozhou_wenshan,138,0.310112,0.204444
9459,"177,48,157",Sumshul,2,10322,"205,73,209",b_jingzhou_something,125,0.280899,0.195618
9459,"177,48,157",Sumshul,3,7269,"199,192,177",b_hanzhou_mianzhu,124,0.278652,0.244576
9459,"177,48,157",Sumshul,4,13204,"237,97,110",,47,0.105618,0.020614
9459,"177,48,157",Sumshul,5,12286,"253,145,226",b_pengzhou_jiulong,11,0.024719,0.020599
9460,"9,51,30",Wunchoin,1,12287,"45,161,137",b_siqiongzhou_yuexi,238,0.318608,0.479839
9460,"9,51,30",Wunchoin,2,7115,"224,35,109",b_maozhou_wenshan,179,0.239625,0.265185
9460,"9,51,30",Wunchoin,3,12453,"69,237,72",b_baoningzhou_baoning,144,0.192771,0.281250
9460,"9,51,30",Wunchoin,4,12534,"70,16,230",b_lingchuanzhou_lingchuan,94,0.125837,0.140930
9460,"9,51,30",Wunchoin,5,13218,"174,67,132",,92,0.123159,0.047447
9462,"93,57,31",Rongbur,1,9462,"93,57,31",Rongbur,969,1.000000,1.000000
9463,"135,60,159",Barkam,1,9463,"135,60,159",Barkam,829,0.961717,0.977594
9463,"135,60,159",Barkam,2,9457,"93,42,156",Choqu,33,0.038283,0.022837
9464,"177,63,32",Quqen,1,9464,"177,63,32",Quqen,1257,1.000000,1.000000
9465,"9,66,160",Trashingling,1,13218,"174,67,132",,247,0.475915,0.127385
9465,"9,66,160",Trashingling,2,9465,"9,66,160",Trashingling,224,0.431599,0.957265
9465,"9,66,160",Trashingling,3,12287,"45,161,137",b_siqiongzhou_yuexi,37,0.071291,0.074597
9465,"9,66,160",Trashingling,4,9457,"93,42,156",Choqu,6,0.011561,0.004152
9465,"9,66,160",Trashingling,5,7115,"224,35,109",b_maozhou_wenshan,5,0.009634,0.007407
9466,"51,69,33",Zainlha,1,9466,"51,69,33",Zainlha,392,0.549020,0.949153
9466,"51,69,33",Zainlha,2,12277,"201,252,32",b_yaochuan_yaochuan,171,0.239496,0.176289
9466,"51,69,33",Zainlha,3,13218,"174,67,132",,151,0.211485,0.077875
9467,"93,72,161",Kharsa,1,9467,"93,72,161",Kharsa,826,1.000000,0.996381
9525,"9,33,190",Dajing,1,9525,"9,33,190",Dajing,1094,1.000000,1.000000
9527,"93,39,191",Anning,1,9527,"93,39,191",Anning,376,1.000000,1.000000
9528,"135,42,64",Yongdeng,1,9528,"135,42,64",Yongdeng,847,1.000000,1.000000
9529,"177,45,192",Jingtai,1,9529,"177,45,192",Jingtai,693,0.998559,1.000000
9529,"177,45,192",Jingtai,2,9534,"177,60,67",Shapotou,1,0.001441,0.000924
9530,"9,48,65",Gaolan,1,9530,"9,48,65",Gaolan,580,1.000000,1.000000
9531,"51,51,193",Baiyin,1,9531,"51,51,193",Baiyin,808,1.000000,1.000000
9532,"93,54,66",Nanhu,1,9533,"135,57,194",Chaganbulage,1179,0.952342,0.481028
9532,"93,54,66",Nanhu,2,9535,"9,63,195",Chaogetuhure,59,0.047658,0.040887
9533,"135,57,194",Chaganbulage,1,9533,"135,57,194",Chaganbulage,1272,0.502966,0.518972
9533,"135,57,194",Chaganbulage,2,9535,"9,63,195",Chaogetuhure,1216,0.480822,0.842689
9533,"135,57,194",Chaganbulage,3,8543,"134,69,199",GOBI DESERT,36,0.014235,0.004173
9533,"135,57,194",Chaganbulage,4,9534,"177,60,67",Shapotou,5,0.001977,0.004621
9534,"177,60,67",Shapotou,1,9534,"177,60,67",Shapotou,466,0.601290,0.430684
9534,"177,60,67",Shapotou,2,12959,"138,240,246",b_weizhou_mingsha_southwest,255,0.329032,0.432937
9534,"177,60,67",Shapotou,3,12962,"212,167,232",b_weizhou_wulan,28,0.036129,0.043887
9534,"177,60,67",Shapotou,4,13087,"147,88,147",b_xiongzhou_changhua_northeast,26,0.033548,0.035714
9535,"9,63,195",Chaogetuhure,1,9534,"177,60,67",Shapotou,606,0.480190,0.560074
9535,"9,63,195",Chaogetuhure,2,8543,"134,69,199",GOBI DESERT,409,0.324089,0.047415
9535,"9,63,195",Chaogetuhure,3,9535,"9,63,195",Chaogetuhure,168,0.133122,0.116424
9535,"9,63,195",Chaogetuhure,4,12959,"138,240,246",b_weizhou_mingsha_southwest,79,0.062599,0.134126
9536,"51,66,68",Dingyuanying,1,8543,"134,69,199",GOBI DESERT,933,0.811304,0.108161
9536,"51,66,68",Dingyuanying,2,13086,"201,165,189",b_xiongzhou_changhua_east,183,0.159130,0.229611
9536,"51,66,68",Dingyuanying,3,12159,"105,143,20",b_lingzhou_lingwu,19,0.016522,0.022646
9536,"51,66,68",Dingyuanying,4,12957,"254,194,76",b_weizhou_mingsha_north,12,0.010435,0.018576
9536,"51,66,68",Dingyuanying,5,12959,"138,240,246",b_weizhou_mingsha_southwest,3,0.002609,0.005093
9537,"93,69,196",Wuluhai,1,9537,"93,69,196",Wuluhai,949,0.937747,0.902950
9537,"93,69,196",Wuluhai,2,12973,"4,202,199",b_fengzhou_north,45,0.044466,0.046059
9537,"93,69,196",Wuluhai,3,10442,"190,226,160",,18,0.017787,0.003755
9538,"135,72,69",Wuyuan,1,12973,"4,202,199",b_fengzhou_north,617,0.535126,0.631525
9538,"135,72,69",Wuyuan,2,9538,"135,72,69",Wuyuan,392,0.339983,0.449026
9538,"135,72,69",Wuyuan,3,9537,"93,69,196",Wuluhai,84,0.072853,0.079924
9538,"135,72,69",Wuyuan,4,10442,"190,226,160",,60,0.052038,0.012518
9539,"177,75,197",Dengkou,1,9539,"177,75,197",Dengkou,1395,0.871330,0.996429
9539,"177,75,197",Dengkou,2,12961,"90,34,159",b_lingzhou_dingyuan_north,173,0.108057,0.162441
9539,"177,75,197",Dengkou,3,10442,"190,226,160",,22,0.013741,0.004590
9539,"177,75,197",Dengkou,4,9540,"9,78,70",Zhongcun,7,0.004372,0.004755
9539,"177,75,197",Dengkou,5,9537,"93,69,196",Wuluhai,3,0.001874,0.002854
9540,"9,78,70",Zhongcun,1,8543,"134,69,199",GOBI DESERT,1618,0.567719,0.187572
9540,"9,78,70",Zhongcun,2,9540,"9,78,70",Zhongcun,1230,0.431579,0.835598
9540,"9,78,70",Zhongcun,3,12961,"90,34,159",b_lingzhou_dingyuan_north,1,0.000351,0.000939
9540,"9,78,70",Zhongcun,4,9539,"177,75,197",Dengkou,1,0.000351,0.000714
9542,"93,84,71",Wuda,1,12961,"90,34,159",b_lingzhou_dingyuan_north,889,0.457540,0.834742
9542,"93,84,71",Wuda,2,12158,"244,155,100",b_lingzhou_dingyuan,504,0.259393,0.911392
9542,"93,84,71",Wuda,3,8543,"134,69,199",GOBI DESERT,311,0.160062,0.036054
9542,"93,84,71",Wuda,4,9540,"9,78,70",Zhongcun,235,0.120947,0.159647
9542,"93,84,71",Wuda,5,9539,"177,75,197",Dengkou,4,0.002059,0.002857
9543,"135,87,199",Shizuizi,1,12960,"4,143,173",b_lingzhou_huaiyuan,582,0.728411,0.976510
9543,"135,87,199",Shizuizi,2,12957,"254,194,76",b_weizhou_mingsha_north,86,0.107635,0.133127
9543,"135,87,199",Shizuizi,3,8543,"134,69,199",GOBI DESERT,85,0.106383,0.009854
9543,"135,87,199",Shizuizi,4,12158,"244,155,100",b_lingzhou_dingyuan,46,0.057572,0.083183
9544,"177,90,72",Dingzhou,1,12957,"254,194,76",b_weizhou_mingsha_north,523,0.581758,0.809598
9544,"177,90,72",Dingzhou,2,12159,"105,143,20",b_lingzhou_lingwu,360,0.400445,0.429082
9544,"177,90,72",Dingzhou,3,12960,"4,143,173",b_lingzhou_huaiyuan,8,0.008899,0.013423
9544,"177,90,72",Dingzhou,4,8543,"134,69,199",GOBI DESERT,8,0.008899,0.000927
9545,"9,93,200",Shunzhou,1,13086,"201,165,189",b_xiongzhou_changhua_east,474,0.617992,0.594730
9545,"9,93,200",Shunzhou,2,12959,"138,240,246",b_weizhou_mingsha_southwest,252,0.328553,0.427844
9545,"9,93,200",Shunzhou,3,12160,"234,86,74",b_weizhou_mingsha,15,0.019557,0.019330
9545,"9,93,200",Shunzhou,4,13140,"245,241,94",b_xiongzhou_changhua_north_2,14,0.018253,0.029474
