"id","existing_file","duplicate_file"
"12854","e_dali.txt","k_dvaravati.txt"
"10963","e_dali.txt","k_dvaravati.txt"
"9459","e_china.txt","k_gyalrong.txt"
"9460","e_china.txt","k_gyalrong.txt"
"4345","k_kabulistan.txt","k_kabulistan.txt"
"1458","k_mongolia.txt","k_naimania.txt"
"7581","k_mongolia.txt","k_naimania.txt"
"7582","k_mongolia.txt","k_naimania.txt"
"7574","k_mongolia.txt","k_naimania.txt"
"7577","k_mongolia.txt","k_naimania.txt"
"7575","k_mongolia.txt","k_naimania.txt"
"7576","k_mongolia.txt","k_naimania.txt"
"7579","k_mongolia.txt","k_naimania.txt"
"7578","k_mongolia.txt","k_naimania.txt"
"7580","k_mongolia.txt","k_naimania.txt"
"7605","k_mongolia.txt","k_naimania.txt"
"7606","k_mongolia.txt","k_naimania.txt"
"7607","k_mongolia.txt","k_naimania.txt"
"7610","k_mongolia.txt","k_naimania.txt"
"7608","k_mongolia.txt","k_naimania.txt"
"7609","k_mongolia.txt","k_naimania.txt"
"216","k_finland.txt","k_sweden.txt"
"217","k_finland.txt","k_sweden.txt"
"9539","e_china.txt","k_xia.txt"
"9541","e_china.txt","k_xia.txt"
"9519","e_china.txt","k_xia.txt"
"9535","e_china.txt","k_xia.txt"
"9520","e_china.txt","k_xia.txt"
"9549","e_china.txt","k_xia.txt"
"9521","e_china.txt","k_xia.txt"
"9522","e_china.txt","k_xia.txt"
"9516","e_china.txt","k_xia.txt"
"9517","e_china.txt","k_xia.txt"
"9525","e_china.txt","k_xia.txt"
"9529","e_china.txt","k_xia.txt"
"9531","e_china.txt","k_xia.txt"
"9530","e_china.txt","k_xia.txt"
"9527","e_china.txt","k_xia.txt"
"9528","e_china.txt","k_xia.txt"
"9526","e_china.txt","k_xia.txt"
"9524","e_china.txt","k_xia.txt"
"9418","e_china.txt","k_xia.txt"
"9417","e_china.txt","k_xia.txt"
"9416","e_china.txt","k_xia.txt"
"9415","e_china.txt","k_xia.txt"
"9419","e_china.txt","k_xia.txt"
"9420","e_china.txt","k_xia.txt"
"9511","e_china.txt","k_xia.txt"
"9512","e_china.txt","k_xia.txt"
"9490","e_china.txt","k_xia.txt"
"9497","e_china.txt","k_xia.txt"
"9513","e_china.txt","k_xia.txt"
"9514","e_china.txt","k_xia.txt"
"9515","e_china.txt","k_xia.txt"
"9501","e_china.txt","k_xia.txt"
"9500","e_china.txt","k_xia.txt"
"9503","e_china.txt","k_xia.txt"
"9502","e_china.txt","k_xia.txt"
"9499","e_china.txt","k_xia.txt"
"9496","e_china.txt","k_xia.txt"
"9495","e_china.txt","k_xia.txt"
"9493","e_china.txt","k_xia.txt"
"9494","e_china.txt","k_xia.txt"
"9498","e_china.txt","k_xia.txt"
"9491","e_china.txt","k_xia.txt"
"9487","e_china.txt","k_xia.txt"
"9492","e_china.txt","k_xia.txt"
"9506","e_china.txt","k_xia.txt"
"9507","e_china.txt","k_xia.txt"
"9510","e_china.txt","k_xia.txt"
"9548","e_china.txt","k_xia.txt"
"9505","e_china.txt","k_xia.txt"
"9504","e_china.txt","k_xia.txt"
"9489","e_china.txt","k_xia.txt"
"9508","e_china.txt","k_xia.txt"
"9482","e_china.txt","k_xia.txt"
"9481","e_china.txt","k_xia.txt"
"9478","e_china.txt","k_xia.txt"
"9485","e_china.txt","k_xia.txt"
"9486","e_china.txt","k_xia.txt"
"9483","e_china.txt","k_xia.txt"
"9488","e_china.txt","k_xia.txt"
"9484","e_china.txt","k_xia.txt"
"9476","e_china.txt","k_xia.txt"
"9477","e_china.txt","k_xia.txt"
"9474","e_china.txt","k_xia.txt"
"9473","e_china.txt","k_xia.txt"
"9475","e_china.txt","k_xia.txt"
"9479","e_china.txt","k_xia.txt"
"9480","e_china.txt","k_xia.txt"
"9472","e_china.txt","k_xia.txt"
"9471","e_china.txt","k_xia.txt"
"9469","e_china.txt","k_xia.txt"
"9470","e_china.txt","k_xia.txt"
"8068","k_borgu.txt","k_yorubaland.txt"
