"source","comment","unmapped","action"
"modlu","","From=12542; To=10469; Through=13929","dropped"
"modlu","","From=10968; To=11240; Through=13491","dropped"
"modlu","","From=11246; To=11665; Through=10572","dropped"
"modlu","","From=13713; To=13820; Through=13630","dropped"
"modlu","","From=13790; To=13713; Through=13630","dropped"
"modlu","","From=13654; To=13688; Through=13631","dropped"
"modlu","","From=13838; To=13662; Through=13631","dropped"
"modlu","","From=13650; To=13888; Through=13621","dropped"
"modlu","","From=13732; To=13893; Through=13895","dropped"
"modlu","","From=13765; To=13809; Through=13894","dropped"
"modlu","","From=13911; To=12411; Through=13944","dropped"
"orijinal","Slemish-Arran","From=13; To=1690; Through=1019","dropped"
"orijinal","Carrickfergus-Wigtown","From=14; To=1684; Through=699","dropped"
"orijinal","Mull-Ardnamurchon","From=35; To=1691; Through=696","dropped"
"orijinal","Rochester-Maldon","From=1504; To=1515; Through=628","dropped"
"orijinal","London-Southwark","From=1527; To=1526; Through=629","dropped"
"orijinal","Portsmouth-Carisbrooke","From=1546; To=1549; Through=966","dropped"
"orijinal","Caernarfon-Yns Mon","From=1667; To=1673; Through=1019","dropped"
"orijinal","Wigtown-Ramsey","From=1684; To=1699; Through=1019","dropped"
"orijinal","Skye-Lewis","From=1692; To=1693; Through=992","dropped"
"orijinal","Skye-Uists","From=1692; To=1694; Through=696","dropped"
"orijinal","Lewis-Uists","From=1693; To=1694; Through=992","dropped"
"orijinal","Arran-Islay","From=1690; To=1689; Through=700","dropped"
"orijinal","Islay-Mull","From=1689; To=1691; Through=700","dropped"
"orijinal","Thurso-Kirkwall","From=1707; To=8; Through=693","dropped"
"orijinal","Glenfinnan-Skye","From=1711; To=1692; Through=696","dropped"
"orijinal","Faor-Ayamonte","From=1748; To=1839; Through=3250","dropped"
"orijinal","Zalaca-Badajoz","From=1833; To=1835; Through=3252","dropped"
"orijinal","Algeciras-Sabta","From=1845; To=4682; Through=954","dropped"
"orijinal","Cabra-Cordoba","From=1979; To=1995; Through=3253","dropped"
"orijinal","Seville-Triana","From=1981; To=1993; Through=3253","dropped"
"orijinal","Nimes-Arles","From=2016; To=2017; Through=3247","dropped"
"orijinal","Bordeaux-Blaye","From=2142; To=2144; Through=3224","dropped"
"orijinal","Saumur-Angers","From=2261; To=2267; Through=3227","dropped"
"orijinal","Harcourt-Rouen","From=2175; To=2179; Through=3234","dropped"
"orijinal","Rais-Nantes","From=2151; To=2152; Through=3226","dropped"
"orijinal","Montfort-Mantes","From=2332; To=2181; Through=3236","dropped"
"orijinal","Paris-Saint-Denis","From=2333; To=2357; Through=3236","dropped"
"orijinal","Bergen op Zoom-Brielle","From=2113; To=2401; Through=3230","dropped"
"orijinal","Dort-Brielle","From=2402; To=2401; Through=3230","dropped"
"orijinal","Tiel-Nijmegen","From=2425; To=2103; Through=3231","dropped"
"orijinal","Moers-Essen","From=2101; To=2677; Through=3231","dropped"
"orijinal","Aalkmar-Wadeilannen","From=2407; To=2412; Through=973","dropped"
"orijinal","Leeuwarden-Wadeilannen","From=2413; To=2412; Through=973","dropped"
"orijinal","Hamburg-Buxtehude","From=2802; To=2803; Through=3237","dropped"
"orijinal","Havelberg-Weben","From=2814; To=2899; Through=3239","dropped"
"orijinal","Roncaglia-Cremona","From=2489; To=2491; Through=3245","dropped"
"orijinal","Mantua-Guastalla","From=2497; To=2530; Through=3244","dropped"
"orijinal","Rovigo-Ferrara","From=2525; To=2527; Through=3243","dropped"
"orijinal","Reggio-Messina","From=2627; To=2633; Through=8653","dropped"
"orijinal","Bonifacio-Olbia","From=2652; To=2658; Through=8637","dropped"
"orijinal","Lindholm-Aalborg","From=55; To=81; Through=1001","dropped"
"orijinal","Taulov-Middelfart","From=227; To=228; Through=999","dropped"
"orijinal","Naestved-Nykobing","From=64; To=67; Through=999","dropped"
"orijinal","Odense-Slagelse","From=65; To=69; Through=999","dropped"
"orijinal","Svendborg-Nakskov","From=66; To=68; Through=999","dropped"
"orijinal","Nykobing-Nakskov","From=67; To=68; Through=999","dropped"
"orijinal","Helsingborg-Helsingora","From=73; To=433; Through=999","dropped"
"orijinal","Rauma-Sund","From=180; To=216; Through=1005","dropped"
"orijinal","Nidaros-Hitrar","From=270; To=272; Through=986","dropped"
"orijinal","Kalmar-Borgholm","From=307; To=314; Through=1003","dropped"
"orijinal","Osthammar-Jomala","From=344; To=217; Through=1005","dropped"
"orijinal","Sigtuna-Tälje","From=341; To=336; Through=959","dropped"
"orijinal","Mithrhordaland-Sunnhordaland","From=257; To=256; Through=8559","dropped"
"orijinal","Stolsheimen-Fjarland","From=262; To=263; Through=8558","dropped"
"orijinal","Maasilinna-Muhu","From=89; To=90; Through=632","dropped"
"orijinal","Maasilinna-Hiiumaa","From=89; To=91; Through=639","dropped"
"orijinal","Haapsalu-Hiiumaa","From=92; To=91; Through=646","dropped"
"orijinal","Lihula-Muhu","From=93; To=90; Through=632","dropped"
"orijinal","Piltene-Kuressaare","From=110; To=88; Through=639","dropped"
"orijinal","Riga-Ikskila","From=104; To=108; Through=3241","dropped"
"orijinal","Duagavpils-Oknist","From=137; To=150; Through=1081","dropped"
"orijinal","Danzig-Wislana","From=2830; To=2831; Through=1052","dropped"
"orijinal","Bydgoszcz-Chelmno(Kulm)","From=4921; To=3198; Through=1053","dropped"
"orijinal","Wloclawek-Dobrzyn","From=4919; To=4922; Through=1053","dropped"
"orijinal","Gostynin-Plock","From=4940; To=529; Through=1053","dropped"
"orijinal","Czersk-Garwolin","From=530; To=4939; Through=1055","dropped"
"orijinal","Calarasi-Silistra","From=4997; To=508; Through=1059","dropped"
"orijinal","Turnu-Nikopolis","From=514; To=507; Through=1060","dropped"
"orijinal","Severin-Klodovo","From=516; To=3667; Through=1061","dropped"
"orijinal","Tulcha-Sulina","From=3694; To=5010; Through=1058","dropped"
"orijinal","Visegrad-Pest","From=3803; To=522; Through=1066","dropped"
"orijinal","Szekesfehevar-Kalocsa","From=3805; To=3807; Through=1066","dropped"
"orijinal","Esztergom-Bény","From=3808; To=3976; Through=1066","dropped"
"orijinal","Komárom-Bátorkeszi","From=3809; To=3916; Through=1067","dropped"
"orijinal","Vakovo-Bacs","From=3610; To=518; Through=8560","dropped"
"orijinal","Buthrothum-Corfu","From=472; To=3710; Through=1038","dropped"
"orijinal","Vonitsa-Cephalonia","From=3701; To=474; Through=1037","dropped"
"orijinal","Cephalonia-Zakynthos","From=474; To=3696; Through=1037","dropped"
"orijinal","Boudounitsa-Oreoi","From=3727; To=3726; Through=942","dropped"
"orijinal","Chalkis-Thebes","From=485; To=3730; Through=942","dropped"
"orijinal","Andros-Tinos","From=3755; To=3756; Through=942","dropped"
"orijinal","Naxos-Tinos","From=484; To=3756; Through=942","dropped"
"orijinal","Naxos-Thera","From=484; To=3757; Through=1017","dropped"
"orijinal","Demetrias-Skopelos","From=488; To=3725; Through=8666","dropped"
"orijinal","Oreoi-Skopelos","From=3726; To=3725; Through=942","dropped"
"orijinal","Kos-Lindos","From=3740; To=3741; Through=936","dropped"
"orijinal","Lindos-Karpathos","From=3741; To=3742; Through=8661","dropped"
"orijinal","Alexandria Troas-Mytilene","From=3751; To=487; Through=1111","dropped"
"orijinal","Alexandria Xanthia-Thasos","From=3767; To=3769; Through=8665","dropped"
"orijinal","Kalliopolis-Lampsakos","From=495; To=3749; Through=947","dropped"
"orijinal","Constantinople-Chalcedon","From=496; To=5565; Through=947","dropped"
"orijinal","Senj-Krk","From=464; To=459; Through=8650","dropped"
"orijinal","Krk-Cres","From=459; To=2521; Through=8650","dropped"
"orijinal","Mokro-Hvar","From=3555; To=3556; Through=1109","dropped"
"orijinal","Hvar-Ston","From=3556; To=3569; Through=1109","dropped"
"orijinal","Nyen-Pähkinälinna","From=169; To=170; Through=1006","dropped"
"orijinal","Turov-Mikashevichy","From=552; To=5116; Through=1079","dropped"
"orijinal","Chornobyl-Rechytsa","From=5095; To=5122; Through=1083","dropped"
"orijinal","Haradok-Vitebsk","From=5135; To=5134; Through=1082","dropped"
"orijinal","Polotsk-Myory","From=5129; To=5131; Through=3242","dropped"
"orijinal","Ladoga-Kirishi","From=5138; To=5154; Through=1085","dropped"
"orijinal","Novgorod-Svolensk","From=5137; To=5254; Through=8569","dropped"
"orijinal","Rusa-Kholm","From=5143; To=5162; Through=8570","dropped"
"orijinal","Luki-Nevel","From=5161; To=5151; Through=1087","dropped"
"orijinal","Podporozhye-Aunus","From=5160; To=193; Through=8571","dropped"
"orijinal","Andreapol-Torzhok","From=5171; To=5164; Through=1106","dropped"
"orijinal","Tver-Torzhok","From=5173; To=5164; Through=8578","dropped"
"orijinal","Tver-Kashin","From=5173; To=5175; Through=8578","dropped"
"orijinal","Yaroslavl-Mologa","From=572; To=5176; Through=1105","dropped"
"orijinal","Plyos-Kostroma","From=5247; To=5251; Through=8580","dropped"
"orijinal","NizhnyNovgorod-Gorodets","From=584; To=585; Through=1098","dropped"
"orijinal","NizhnyNovgorod-Pavlovo","From=584; To=5235; Through=8574","dropped"
"orijinal","VaskinaPolyana-Ryazan","From=5253; To=580; Through=1102","dropped"
"orijinal","VaskinaPolyana-PereyaslavlRyazanski","From=5253; To=5228; Through=1099","dropped"
"orijinal","Yegoryevsk-PereyaslavlRyazanski","From=5238; To=5228; Through=1099","dropped"
"orijinal","Mozhaysk-Suvorov","From=587; To=5218; Through=1104","dropped"
"orijinal","Trubetsk-Lokot","From=5204; To=5208; Through=1074","dropped"
"orijinal","Gnezdovo-Smolensk","From=5221; To=568; Through=1078","dropped"
"orijinal","Babruysk-Cherykaw","From=5119; To=5225; Through=8565","dropped"
"orijinal","Unenezh-Chernigov","From=5201; To=554; Through=1073","dropped"
"orijinal","Rechytsa-Chernigov","From=5122; To=554; Through=1077","dropped"
"orijinal","Kiev-Chernigov","From=547; To=554; Through=8564","dropped"
"orijinal","Kiev-Pereyaslavl","From=547; To=555; Through=1072","dropped"
"orijinal","Beloozero-Ostrov","From=5156; To=5816; Through=1101","dropped"
"orijinal","Cherepovets-Vologda","From=5157; To=5824; Through=8579","dropped"
"orijinal","Yaroslavl-Vyatskoye","From=572; To=5828; Through=1098","dropped"
"orijinal","Kholmogory-Arkhangelsk","From=5798; To=5799; Through=5855","dropped"
"orijinal","Kotlas-Usyorga","From=5840; To=5841; Through=5857","dropped"
"orijinal","Odessa-Cetatea Alba","From=5268; To=512; Through=1056","dropped"
"orijinal","Ladyzyn-Soroca","From=5257; To=5021; Through=1057","dropped"
"orijinal","Cherkassy-Voin","From=5263; To=5189; Through=1071","dropped"
"orijinal","Dnipro-Khortytsia","From=5274; To=557; Through=8563","dropped"
"orijinal","Kherson-Oleshye","From=5269; To=558; Through=1070","dropped"
"orijinal","Kerch-Tmutarkan (Kerch strait)","From=562; To=598; Through=8670","dropped"
"orijinal","Siyahtepe-Sarysyn","From=5291; To=595; Through=8584","dropped"
"orijinal","Golden Hills-Sarkel","From=5290; To=607; Through=9663","dropped"
"orijinal","Tana-Azov","From=596; To=597; Through=8585","dropped"
"orijinal","Khazaran-Itil","From=604; To=620; Through=1092","dropped"
"orijinal","Sarysyn-Saray","From=595; To=619; Through=1093","dropped"
"orijinal","Yoshkar-Ola-Cheboksary","From=588; To=590; Through=1097","dropped"
"orijinal","Ashli-Kazan","From=614; To=611; Through=8581","dropped"
"orijinal","Ashli-Bolghar","From=614; To=610; Through=1096","dropped"
"orijinal","Banja-Sumar","From=5411; To=609; Through=8582","dropped"
"orijinal","Saratov-Engels","From=592; To=5347; Through=1103","dropped"
"orijinal","Khopyor-Kazanskaya","From=593; To=5287; Through=1090","dropped"
"orijinal","Bolghar-Kashan","From=610; To=5397; Through=8577","dropped"
"orijinal","Yar Calli-Elabuga","From=5408; To=5403; Through=5510","dropped"
"orijinal","Perm-Nytva","From=886; To=5450; Through=5511","dropped"
"orijinal","GranCanaria-Tenerife","From=849; To=8713; Through=8622","dropped"
"orijinal","GranCanaria-Fuerteventura","From=849; To=8714; Through=8622","dropped"
"orijinal","Fuerteventura-Lanzarote","From=8714; To=8715; Through=8622","dropped"
"orijinal","Daqahla-Samannud","From=6043; To=6047; Through=6026","dropped"
"orijinal","Cairo-Gizeh","From=6042; To=6057; Through=6028","dropped"
"orijinal","Nastarawa-Damanhur","From=6049; To=6054; Through=6027","dropped"
"orijinal","Al-Bahnasa-Ihrit","From=6063; To=6064; Through=6028","dropped"
"orijinal","Al-Ushmunain-Ansina","From=6067; To=6068; Through=6029","dropped"
"orijinal","Asyut-Bawit","From=6070; To=6071; Through=6029","dropped"
"orijinal","Qus-Armant","From=6077; To=6078; Through=6125","dropped"
"orijinal","Bonny-Nembe","From=8115; To=8087; Through=8092","dropped"
"orijinal","Ode Itseriki-Onitsha","From=8086; To=8111; Through=8093","dropped"
"orijinal","Kyadya-Bida","From=8085; To=6548; Through=8094","dropped"
"orijinal","Yauri-Kaoje","From=6553; To=6915; Through=6796","dropped"
"orijinal","Rozi-Pekinga","From=6570; To=6714; Through=6796","dropped"
"orijinal","Gao-Koima","From=6577; To=6579; Through=6794","dropped"
"orijinal","Kabara-Bangu","From=6608; To=6670; Through=6793","dropped"
"orijinal","Mara-Kaniana","From=6620; To=6647; Through=6791","dropped"
"orijinal","Kaskar-An-Numaniya","From=4822; To=4823; Through=6127","dropped"
"orijinal","Iskaf-Humaniya","From=4797; To=4824; Through=6126","dropped"
"orijinal","Nahr Simmara-Matara Iraq","From=6008; To=6021; Through=6128","dropped"
"orijinal","Al-Khatt-Uwal","From=6157; To=6156; Through=1394","dropped"
"orijinal","Murwab-Uwal","From=6150; To=6156; Through=1394","dropped"
"orijinal","Shahru-Laft (Strait of Hormuz)","From=4186; To=4187; Through=1393","dropped"
"orijinal","Musandam-Laft (Strait of Hormuz)","From=6132; To=4187; Through=1393","dropped"
"orijinal","Al-Mandab-Assab","From=6282; To=8340; Through=1385","dropped"
"orijinal","Al-Mandab-Awbuk","From=6282; To=8341; Through=1385","dropped"
"orijinal","Buri-Dahlak Kebir","From=8286; To=8280; Through=8673","dropped"
"orijinal","Kanthakota-Morvi","From=1295; To=3355; Through=1397","dropped"
"orijinal","Debul-Sauvira","From=1297; To=3400; Through=8681","dropped"
"orijinal","Bhakkar-Aror","From=1138; To=1175; Through=1308","dropped"
"orijinal","Rajanpur-Chachran","From=1339; To=3408; Through=1309","dropped"
"orijinal","Karor-Dera Ghazi Khan","From=1340; To=3417; Through=8588","dropped"
"orijinal","Karur-Askhanda","From=1178; To=3410; Through=8590","dropped"
"orijinal","Pancapura-Abohar","From=3421; To=3423; Through=8591","dropped"
"orijinal","Akruresvara-Navasarika","From=1127; To=3383; Through=8593","dropped"
"orijinal","Thalner-Sindkheda","From=1262; To=1194; Through=8594","dropped"
"orijinal","Palwancha-Bhadracala","From=7910; To=7913; Through=8598","dropped"
"orijinal","Vengipura-Draksharama","From=1123; To=7916; Through=8597","dropped"
"orijinal","Kannanur-Karavur","From=7836; To=1201; Through=8596","dropped"
"orijinal","Kannanur-Uraiyur","From=7836; To=7807; Through=8595","dropped"
"orijinal","Kannanur-Tanjavur","From=7836; To=1115; Through=8595","dropped"
"orijinal","Nagapattinam-Tanjavur","From=7838; To=1115; Through=8595","dropped"
"orijinal","Bikrampur-Fathabad","From=1319; To=1240; Through=1311","dropped"
"orijinal","Nabadwipa-Santipura","From=1323; To=856; Through=456","dropped"
"orijinal","Karnasubarna-Raktamrittika","From=1243; To=842; Through=456","dropped"
"orijinal","Karnasubarna-Rampur Boalia","From=1243; To=839; Through=1312","dropped"
"orijinal","Madhupur-Somapur","From=1325; To=848; Through=1316","dropped"
"orijinal","Kamarupanagara-Pragyotisapura","From=1321; To=815; Through=8603","dropped"
"orijinal","Haruppeswara-Numaligarh","From=1418; To=813; Through=8604","dropped"
"orijinal","Gaur-Agmahl","From=837; To=843; Through=1313","dropped"
"orijinal","Pataliputra-Hajipur","From=1154; To=879; Through=1315","dropped"
"orijinal","Varanasi-Chunar","From=1163; To=1281; Through=8602","dropped"
"orijinal","Bhubaneswar-Athgarh","From=927; To=931; Through=8600","dropped"
"orijinal","Mahal-Thiladhunmathi #Maldives","From=1360; To=8712; Through=8683","dropped"
"orijinal","Kanthakota-Kasara","From=1295; To=3385; Through=1397","dropped"
"orijinal","Bergen op Zoom-Middelberg","From=2113; To=2112; Through=3229","dropped"
"orijinal","Bruges-Middelberg","From=2115; To=2112; Through=3229","dropped"
"orijinal","Pate-Kiangwe","From=12773; To=12775; Through=12799","dropped"
"orijinal","Pate-Kiunga","From=12773; To=12774; Through=12799","dropped"
