"rgb","modlu_id","modlu_name","modlu_pixel_count","modlu_bbox","orijinal_id","orijinal_name","orijinal_pixel_count","orijinal_bbox","same_id","same_name"
"177,180,192","9929","Hazar DeÅˆizi","39959","3468,1833 -> 3733,2082","9920","Goryeo_Seohae_Ongjin","519","7453,1636 -> 7490,1664","False","False"
"177,183,157","9859","Byblos","146","2970,2562 -> 2984,2578","9860","Goryeo_Donggye_Ingnyeong","386","7696,1600 -> 7726,1625","False","False"
"177,195,67","9934","Sayram Lake","145","5059,1627 -> 5076,1638","9924","Goryeo_Yanggwan_Namyeong","558","7582,1626 -> 7620,1654","False","False"
"177,198,32","9864","JerLod","180","2931,2693 -> 2954,2703","9859","Goryeo_Donggye_Samcheok","473","7740,1640 -> 7770,1669","False","False"
"177,21,67","9734","Aderno","367","1789,2410 -> 1812,2434","9850","Taiwan_Miaoli","1642","7408,2380 -> 7455,2449","False","False"
"177,210,197","9939","Tsetseg Nuur","940","5541,1462 -> 5598,1496","9930","Goryeo_Yanggwan_Pyeongchang","255","7703,1647 -> 7730,1662","False","False"
"177,27,202","9949","Khyargas Nuur","722","5537,1252 -> 5590,1282","9935","Goryeo_Yanggwan_Jangyeon","457","7669,1688 -> 7699,1713","False","False"
"177,42,77","9954","TeÅ„iz KÃ³li","1128","4396,1329 -> 4467,1374","9939","Goryeo_Yanggwan_Gwangju","730","7590,1653 -> 7636,1679","False","False"
"177,75,47","9894","Odzrakhe","293","3264,2022 -> 3283,2046","9890","Goryeo_Bukgye_Cheolju","409","7364,1542 -> 7395,1564","False","False"
"178,192,2","10004","Pongyin Co","23","5515,2294 -> 5519,2299","9968","GORYEO_TAEBAEK_MOUNTAINS","659","7683,1612 -> 7722,1648","False","False"
"178,207,132","10009","Hoh Xil Lake","74","5611,2129 -> 5626,2135","9973","Goryeo_Gyeongsang_Gyeongju","538","7764,1719 -> 7798,1749","False","False"
"178,24,137","10019","Amtogor Lake","45","5040,2225 -> 5047,2232","9978","Goryeo_Gyeongsang_Sunan","372","7712,1670 -> 7734,1697","False","False"
"178,39,12","10024","Aru Co","26","5180,2283 -> 5186,2287","9982","Goryeo_Gyeongsang_Geoje","508","7729,1786 -> 7767,1820","False","False"
"178,69,17","10034","Lake ErÃ§ek","26","3327,2228 -> 3331,2234","9987","Goryeo_Gyeongsang_Hamyang","271","7678,1776 -> 7705,1791","False","False"
"178,84,147","10039","Lake Philomelion","144","2727,2297 -> 2741,2311","9992","Goryeo_Gyeongsang_Gaeryeong","697","7680,1711 -> 7712,1754","False","False"
"178,99,22","10044","Lake Anaua","65","2652,2358 -> 2664,2365","9995","Goryeo_Gyeongsang_Chirwon","783","7729,1766 -> 7774,1794","False","False"
"51,108,88","9976","Zigetangcuo Lake","53","5636,2330 -> 5646,2336","9951","Goryeo_Jeolla_Yeonggwang","301","7603,1768 -> 7623,1795","False","False"
"51,111,53","9906","Vararakn","552","3456,2133 -> 3488,2161","9901","Goryeo_Bukgye_Jaju","582","7489,1540 -> 7517,1573","False","False"
"51,114,18","9836","Yamboli","244","2793,1858 -> 2813,1875","9784","Lingnan_Nanning_Fu_Wuxuzhen","439","6623,2659 -> 6649,2687","False","False"
"51,123,218","9981","Angda'er Co","16","5564,2306 -> 5569,2309","9954","Goryeo_Jeolla_Jangheung","503","7643,1825 -> 7670,1879","False","False"
"51,135,178","9701","Sirmione","158","1530,1827 -> 1550,1841","9803","Lingnan_Leizhou_Zhanjiang","681","6740,2757 -> 6783,2781","False","False"
"51,138,93","9986","DagzÃª Co","52","5463,2362 -> 5472,2368","9959","Goryeo_Jeolla_Mupung","322","7667,1736 -> 7686,1766","False","False"
"51,156,188","9921","Tekor","248","3299,2124 -> 3324,2138","9910","Goryeo_Seohae_Sineun","459","7531,1597 -> 7561,1620","False","False"
"51,171,63","9926","Tralles","523","2549,2358 -> 2574,2402","9919","Goryeo_Seohae_Haeju","538","7475,1634 -> 7514,1669","False","False"
"51,18,73","9946","BÃ¶Ã¶n Tsagaan Nuur","92","5883,1403 -> 5897,1411","9929","Goryeo_Yanggwan_Cheonyeong","313","7641,1651 -> 7664,1678","False","False"
"51,186,193","9931","Lake Alakol","1379","5023,1509 -> 5099,1559","9921","Goryeo_Seohae_Ubong","477","7510,1636 -> 7547,1656","False","False"
"51,189,158","9861","Gibelin","336","2927,2727 -> 2948,2751","9862","Goryeo_Donggye_Goseong","439","7662,1562 -> 7692,1590","False","False"
"51,201,68","9936","Ulungur Lake","450","5309,1415 -> 5342,1441","9925","Goryeo_Yanggwan_Haengju","409","7571,1637 -> 7605,1660","False","False"
"51,48,78","9956","Katta KÃ¶l","105","4259,2086 -> 4292,2117","9940","Goryeo_Yanggwan_Seorim","368","7598,1725 -> 7623,1758","False","False"
"51,57,73","9746","Andria","582","1874,2147 -> 1903,2178","9785","Lingnan_Nanning_Fu_Yongchun","1419","6674,2632 -> 6729,2674","False","False"
"51,63,208","9961","Ngoring Lake","130","5971,2124 -> 5986,2140","9943","Goryeo_Yanggwan_Guseong","469","7574,1686 -> 7599,1717","False","False"
"51,69,138","9821","Moluag","375","655,744 -> 678,769","9843","Lingnan_Siming_Siming","728","6566,2680 -> 6618,2717","False","False"
"51,78,83","9966","Lake Aqqikkol","113","5451,2060 -> 5465,2070","9946","Goryeo_Yanggwan_Dangseong","510","7548,1670 -> 7613,1696","False","False"
"52,0,133","10011","Kusai Lake","50","5700,2109 -> 5718,2117","9975","Goryeo_Gyeongsang_Gijang","419","7768,1759 -> 7792,1789","False","False"
"52,105,23","10046","Lake Yansli","11","2664,2378 -> 2666,2381","9869","Goryeo_Donggye_Ulleung","194","7843,1599 -> 7856,1615","False","False"
"52,15,8","10016","Xuemei Lake","19","5457,2110 -> 5461,2114","9977","Goryeo_Gyeongsang_Jaesan","429","7727,1665 -> 7755,1685","False","False"
"52,198,3","10006","Wulanwula Lake","153","5580,2174 -> 5604,2186","9970","Goryeo_Gyeongsang_Janggi","405","7773,1711 -> 7799,1734","False","False"
"52,30,138","10021","Chem Co","35","5048,2284 -> 5054,2292","9980","Goryeo_Gyeongsang_Hadong","409","7697,1790 -> 7726,1824","False","False"
"52,45,13","10026","Luotuo Co","47","5144,2257 -> 5157,2261","9983","Goryeo_Gyeongsang_Boryeong","743","7656,1703 -> 7683,1745","False","False"
"52,75,18","10036","Lake Ã‡Ä±ldÄ±r","55","3291,2077 -> 3300,2085","9989","Goryeo_Gyeongsang_Gyeongsanbu","410","7707,1742 -> 7727,1772","False","False"
"52,90,148","10041","Lake Akrotori","194","2703,2325 -> 2714,2355","9993","Goryeo_Gyeongsang_Yeongju","556","7738,1723 -> 7766,1748","False","False"
"9,0,70","9940","Khar-Us Nuur","815","5526,1316 -> 5558,1359","9931","Goryeo_Yanggwan_Yeongwol","442","7696,1657 -> 7726,1684","False","False"
"9,105,215","9975","Cona","36","5672,2328 -> 5676,2337","9949","Goryeo_Jeolla_Hampyeong","610","7588,1788 -> 7630,1840","False","False"
"9,111,145","9835","Mangup","306","2796,1845 -> 2827,1863","9783","Lingnan_Nanning_Fu_Shangsi","1372","6604,2672 -> 6653,2728","False","False"
"9,135,220","9985","Norma Co","38","5476,2331 -> 5492,2348","9958","Goryeo_Jeolla_Jillye","407","7648,1740 -> 7669,1766","False","False"
"9,138,185","9915","Haghpat","197","3367,2053 -> 3382,2074","9909","Goryeo_Seohae_Suan","378","7522,1579 -> 7544,1605","False","False"
"9,15,200","9945","Gegeen Nuur","141","5765,1395 -> 5790,1408","9928","Goryeo_Yanggwan_Yanggeun","397","7618,1639 -> 7645,1661","False","False"
"9,150,95","9990","Mucuobingni","41","5411,2438 -> 5420,2445","9960","Goryeo_Jeolla_Jinan","443","7648,1762 -> 7679,1784","False","False"
"9,153,60","9920","Shirakavan","165","3314,2102 -> 3329,2123","9915","Goryeo_Seohae_Dongju","411","7511,1598 -> 7536,1623","False","False"
"9,165,225","9995","Taro Tso","121","5289,2429 -> 5308,2436","9963","Goryeo_Jeolla_Seungpyeong","675","7667,1798 -> 7712,1844","False","False"
"9,168,190","9925","Varzahan","248","3146,2134 -> 3165,2155","9918","Goryeo_Seohae_Cheongsong","456","7454,1620 -> 7493,1638","False","False"
"9,24,195","9735","PaternoSicily","286","1815,2425 -> 1839,2442","9851","Taiwan_Taipei","569","7450,2372 -> 7482,2402","False","False"
"9,3,35","9870","Belfort","284","2955,2604 -> 2980,2618","9873","Goryeo_Gyoju_Gyoju","522","7600,1571 -> 7633,1596","False","False"
"9,30,75","9950","Uvs Nuur","1586","5485,1166 -> 5545,1218","9936","Goryeo_Yanggwan_Cheongju","543","7635,1706 -> 7665,1734","False","False"
"9,60,80","9960","Suqian Lake","139","5927,1930 -> 5945,1939","9942","Goryeo_Yanggwan_Buseong","371","7558,1690 -> 7585,1722","False","False"
"9,63,45","9890","Akhalkalaki","419","3303,2037 -> 3330,2072","9887","Goryeo_Bukgye_Jangjeong","877","7441,1489 -> 7479,1526","False","False"
"9,9,65","9730","Nerola","516","1679,2088 -> 1714,2110","9846","Taiwan_Chiayi","1398","7359,2472 -> 7430,2514","False","False"
"93,105,81","9762","Nocera","300","1786,2186 -> 1820,2202","9781","Lingnan_Nanning_Fu_Nanning","538","6646,2659 -> 6674,2686","False","False"
"93,111,216","9977","Ringco Kongma","47","5586,2401 -> 5599,2405","9952","Goryeo_Jeolla_Gangseong","473","7613,1766 -> 7641,1795","False","False"
"93,126,91","9982","Gyaring Co","109","5502,2393 -> 5529,2408","9955","Goryeo_Jeolla_Donggang","420","7629,1836 -> 7649,1882","False","False"
"93,129,56","9912","TatevMon","395","3417,2161 -> 3447,2184","9907","Goryeo_Gaeseong_Chuiljeon","409","7566,1611 -> 7595,1638","False","False"
"93,144,186","9917","Bjni","442","3342,2101 -> 3380,2120","9912","Goryeo_Seohae_Hwangju","458","7481,1592 -> 7515,1612","False","False"
"93,156,96","9992","Paiku Co","68","5393,2536 -> 5402,2547","9961","Goryeo_Jeolla_Namwon","384","7655,1780 -> 7682,1800","False","False"
"93,171,226","9997","Rinchen Shuptso","48","5257,2426 -> 5267,2433","9964","Goryeo_Jeolla_Boseong","541","7654,1797 -> 7683,1832","False","False"
"93,183,186","9717","Martellago","336","1618,1818 -> 1651,1833","9757","Lingnan_Lianzhou_Hepu","738","6684,2693 -> 6735,2725","False","False"
"93,189,66","9932","Ebi Lake","369","5130,1599 -> 5163,1615","9922","Goryeo_Seohae_Pyeongju","643","7512,1616 -> 7556,1638","False","False"
"93,192,31","9862","Ibelin","281","2923,2709 -> 2943,2733","9863","Goryeo_Donggye_Tongcheon","649","7634,1548 -> 7671,1578","False","False"
"93,204,196","9937","Jili Lake","59","5334,1438 -> 5341,1449","9945","Goryeo_Yanggwan_Ganghwa","492","7548,1649 -> 7592,1673","False","False"
"93,21,201","9947","Orog Nuur","41","5945,1410 -> 5954,1414","9933","Goryeo_Yanggwan_Chungju","348","7652,1676 -> 7680,1694","False","False"
"93,36,76","9952","Achit Nuur","128","5424,1255 -> 5436,1267","9937","Goryeo_Yanggwan_Gongju","376","7613,1711 -> 7640,1734","False","False"
"93,39,41","9882","Martvili","368","3221,1966 -> 3249,1995","9878","Goryeo_Gyoju_Anhyeop","369","7574,1596 -> 7600,1620","False","False"
"93,51,206","9957","Siob KÃ¶l","85","4699,2046 -> 4709,2058","9941","Goryeo_Yanggwan_Nampo","593","7582,1714 -> 7616,1747","False","False"
"93,57,136","9817","Colonsay","34","651,927 -> 658,937","9838","Lingnan_Guishunzhou_Napo","1093","6474,2609 -> 6518,2648","False","False"
"93,66,81","9962","Gyaring Lake","108","5946,2131 -> 5961,2140","9944","Goryeo_Yanggwan_Yesan","423","7597,1694 -> 7619,1723","False","False"
"93,81,211","9967","Lake Jingyu","75","5510,2095 -> 5528,2104","9947","Goryeo_Yanggwan_Anseong","582","7611,1662 -> 7649,1688","False","False"
"93,9,36","9872","Bikfaiya","251","2970,2576 -> 2991,2597","9875","Goryeo_Gyoju_Nangcheon","733","7609,1595 -> 7650,1631","False","False"
"93,96,86","9972","Neri Punco","18","5678,2370 -> 5682,2375","9956","Goryeo_Jeolla_Jindo","474","7585,1831 -> 7634,1865","False","False"
"93,99,51","9902","Kaghankatuyk","346","3486,2063 -> 3509,2087","9897","Goryeo_Bukgye_Samhwa","476","7443,1585 -> 7477,1605","False","False"
"94,108,151","10047","Lake Kaunos","11","2600,2430 -> 2604,2435","9868","Goryeo_Donggye_Yeju","904","7592,1505 -> 7627,1547","False","False"
"94,201,131","10007","Mingjing Lake","21","5589,2164 -> 5596,2166","9971","Goryeo_Gyeongsang_Pyeonghae","782","7750,1668 -> 7780,1703","False","False"
"94,63,16","10032","Lake Urmia","1221","3398,2247 -> 3442,2316","9985","Goryeo_Gyeongsang_Dian","489","7709,1700 -> 7743,1727","False","False"
"94,78,146","10037","Lake Yay","57","2923,2286 -> 2932,2300","9990","Goryeo_Gyeongsang_Hapcheon","433","7701,1766 -> 7729,1790","False","False"
