"source_title_id","source_tier","cluster_key","source_root_title","in_master","status","relation_type","rewrite_allowed","canonical_namespace","canonical_title_id"
"b_semnyi","b","h_china > k_hexi > d_qilian","h_china","yes","mapped","contextual","yes","mod","b_semnyi"
"b_huairen_2","b","h_china > k_daibei > d_yunshuo","h_china","yes","mapped","contextual","yes","mod","b_huairen_china"
"b_tongchuan","b","h_china > k_guannei > d_binning","h_china","yes","mapped","exact","yes","vanilla","b_tongchuan"
"b_liuhe","b","h_china > k_huainan > d_huainan","h_china","yes","mapped","contextual","yes","mod","b_liuhe_china"
"c_suizhou_1","c","h_china > k_shannan > d_xiangdeng","h_china","yes","mapped","contextual","yes","mod","c_suizhou_china"
"b_songkou","b","h_china > k_lingnan > d_huixun","h_china","yes","mapped","exact","yes","vanilla","b_songkou"
"b_nanchong","b","h_china > k_xingyuan > d_lilang","h_china","yes","mapped","exact","yes","vanilla","b_nanchong"
"b_yucheng","b","h_china > k_henan > d_biansong","h_china","yes","mapped","exact","yes","vanilla","b_yucheng"
"b_jincheng","b","h_china > k_daibei > d_yunshuo","h_china","yes","mapped","contextual","yes","mod","b_jincheng"
"c_yongzhou","c","h_china > k_hunan > d_lingling","h_china","yes","mapped","exact","yes","vanilla","c_yongzhou"
"c_huaining","c","h_china > k_henan > d_chenxu","h_china","yes","mapped","exact","yes","vanilla","c_huaining"
"c_pengzhou_2","c","h_china > k_xingyuan > d_lilang","h_china","yes","mapped","contextual","yes","mod","c_pengzhou_china"
"c_lanzhou","c","h_china > k_hedong > d_hedong","h_china","yes","mapped","exact","yes","vanilla","c_lanzhou"
"b_zhuti","b","h_china > k_qianzhong > d_shimen","h_china","yes","mapped","contextual","yes","mod","b_zhuti"
"b_yongxing","b","h_china > k_daibei > d_sanggan","h_china","yes","mapped","exact","yes","vanilla","b_yongxing"
"c_zhanyin","c","h_china > k_hexi > d_hexi","h_china","yes","mapped","exact","yes","vanilla","c_zhanyin"
"c_jingzhao","c","h_china > k_guannei > d_yongxing","h_china","yes","mapped","contextual","yes","mod","c_jingzhao"
"b_xiangyin","b","h_china > k_shannan > d_eyue","h_china","yes","mapped","contextual","yes","mod","b_xiangyin_china"
"b_songwai","b","h_china > k_dali > d_jianchuan","h_china","yes","mapped","contextual","yes","mod","b_songwai"
"c_quanzhou","c","h_china > k_fujian > d_pinghai","h_china","yes","mapped","contextual","yes","mod","c_quanzhou_china"
"b_teng","b","h_china > k_qingxu > d_xusi","h_china","yes","mapped","exact","yes","vanilla","b_teng"
"b_rongcheng_1","b","h_china > k_lingxi > d_rongguan","h_china","yes","mapped","exact","yes","vanilla","b_rongcheng_1"
"b_humu","b","h_china > k_qianzhong > d_shimen","h_china","yes","mapped","exact","yes","vanilla","b_humu"
"b_fanyang","b","h_china > k_youji > d_youzhou","h_china","yes","mapped","exact","yes","vanilla","b_fanyang"
"c_quanzhou_2","c","h_china > k_hunan > d_lingling","h_china","yes","mapped","contextual","yes","mod","c_quanzhou_china"
"b_ganquan","b","h_china > k_hexi > d_guasha","h_china","yes","mapped","exact","yes","vanilla","b_ganquan"
"k_hexi","k","h_china > k_hexi","h_china","yes","mapped","exact","yes","vanilla","k_hexi"
"b_muyuan","b","h_china > k_qianzhong > d_shimen","h_china","yes","mapped","exact","yes","vanilla","b_muyuan"
"b_chengji_1","b","h_china > k_dali > d_jianchuan","h_china","yes","mapped","contextual","yes","mod","b_chengji_china"
"b_zhijiang","b","h_china > k_shannan > d_jingnan","h_china","yes","mapped","exact","yes","vanilla","b_zhijiang"
"b_hukou","b","h_china > k_jiangxi > d_dingjiang","h_china","yes","mapped","exact","yes","vanilla","b_hukou"
"b_jiande","b","h_china > k_liangzhe > d_zhexi","h_china","yes","mapped","exact","yes","vanilla","b_jiande"
"c_qingzhou","c","h_china > k_qingxu > d_ziqing","h_china","yes","mapped","contextual","yes","mod","c_qingzhou_china"
"b_tongcheng","b","h_china > k_huainan > d_huaixi","h_china","yes","mapped","exact","yes","vanilla","b_tongcheng"
"c_chuzhou_2","c","h_china > k_huainan > d_huainan","h_china","yes","mapped","exact","yes","vanilla","c_chuzhou_2"
"b_linfen","b","h_china > k_hedong > d_hezhong","h_china","yes","mapped","contextual","yes","mod","b_linfen_china"
"b_zhanyin","b","h_china > k_hexi > d_hexi","h_china","yes","mapped","exact","yes","vanilla","b_zhanyin"
"b_huang","b","h_china > k_qingxu > d_ziqing","h_china","yes","mapped","exact","yes","vanilla","b_huang"
"b_kuaiji","b","h_china > k_liangzhe > d_zhedong","h_china","yes","mapped","exact","yes","vanilla","b_kuaiji"
"b_shen","b","h_china > k_huainan > d_huaixi","h_china","yes","mapped","exact","yes","vanilla","b_shen"
"c_zezhou","c","h_china > k_hedong > d_zelu","h_china","yes","mapped","contextual","yes","mod","c_zezhou_china"
"b_huojing","b","h_china > k_xichuan > d_qiongnan","h_china","yes","mapped","exact","yes","vanilla","b_huojing"
"c_xiaoguan","c","h_china > k_guannei > d_jingyuan","h_china","yes","mapped","exact","yes","vanilla","c_xiaoguan"
"c_shaowu","c","h_china > k_fujian > d_jianning","h_china","yes","mapped","exact","yes","vanilla","c_shaowu"
"b_linqu","b","h_china > k_qingxu > d_ziqing","h_china","yes","mapped","exact","yes","vanilla","b_linqu"
"b_haozhou","b","h_china > k_qianzhong > d_luoshi","h_china","yes","mapped","exact","yes","vanilla","b_haozhou"
"b_yanshi","b","h_china > k_henan > d_dongji","h_china","yes","mapped","exact","yes","vanilla","b_yanshi"
"c_nghe_an","c","h_china > k_viet > d_nghe_an","h_china","yes","mapped","exact","yes","vanilla","c_nghe_an"
"c_yunzhou","c","h_china > k_qingxu > d_yuncao","h_china","yes","mapped","contextual","yes","mod","c_yunzhou_china"
"b_dinghu","b","h_china > k_hedong > d_hedong","h_china","yes","mapped","exact","yes","vanilla","b_dinghu"
"b_qingjiang","b","h_china > k_jiangxi > d_jiangxi","h_china","yes","mapped","exact","yes","vanilla","b_qingjiang"
"c_hangzhou","c","h_china > k_liangzhe > d_zhexi","h_china","yes","mapped","contextual","yes","mod","c_hangzhou_china"
"b_ningpu","b","h_china > k_lingxi > d_yongguan","h_china","yes","mapped","exact","yes","vanilla","b_ningpu"
"b_qiyang","b","h_china > k_hunan > d_lingling","h_china","yes","mapped","exact","yes","vanilla","b_qiyang"
"b_xiangxiang","b","h_china > k_hunan > d_hunan","h_china","yes","mapped","contextual","yes","mod","b_xiangxiang_china"
"d_pinghai","d","h_china > k_fujian > d_pinghai","h_china","yes","mapped","exact","yes","vanilla","d_pinghai"
"b_zhennan","b","h_china > k_lingnan > d_lingnan","h_china","yes","mapped","exact","yes","vanilla","b_zhennan"
"b_longbiao","b","h_china > k_kuizhou > d_wuxi","h_china","yes","mapped","exact","yes","vanilla","b_longbiao"
"b_cirlxj_dongshengzhou","b","h_china > k_daibei > d_xinan","h_china","yes","mapped","exact","yes","vanilla","b_cirlxj_dongshengzhou"
"b_zigui","b","h_china > k_shannan > d_jingnan","h_china","yes","mapped","contextual","yes","mod","b_zigui_china"
"b_yichuan","b","h_china > k_guannei > d_fufang","h_china","yes","mapped","exact","yes","vanilla","b_yichuan"
"b_daojiang","b","h_china > k_xichuan > d_xichuan","h_china","yes","mapped","exact","yes","vanilla","b_daojiang"
"b_dushang","b","h_china > k_qianzhong > d_zangke","h_china","yes","mapped","exact","yes","vanilla","b_dushang"
"b_mei","b","h_china > k_guannei > d_fengxiang","h_china","yes","mapped","exact","yes","vanilla","b_mei"
"b_fenyi","b","h_china > k_jiangxi > d_jiangxi","h_china","yes","mapped","exact","yes","vanilla","b_fenyi"
"c_dali","c","h_china > k_dali > d_dali","h_china","yes","mapped","exact","yes","vanilla","c_dali"
"b_yihuang","b","h_china > k_jiangxi > d_jiangxi","h_china","yes","mapped","contextual","yes","mod","b_yihuang_china"
"d_guiguan","d","h_china > k_lingxi > d_guiguan","h_china","yes","mapped","contextual","yes","mod","d_guiguan_china"
"k_shannan","k","h_china > k_shannan","h_china","yes","mapped","exact","yes","vanilla","k_shannan"
"e_minister_chancellor","e","h_china","h_china","yes","mapped","contextual","yes","mod","e_minister_chancellor"
"c_xunzhou_2","c","h_china > k_lingxi > d_yongguan","h_china","yes","mapped","contextual","yes","mod","c_xunzhou_china"
"b_yincheng_1","b","h_china > k_huainan > d_huaixi","h_china","yes","mapped","contextual","yes","mod","b_yincheng_china"
"b_duling","b","h_china > k_lingnan > d_lingnan","h_china","yes","mapped","exact","yes","vanilla","b_duling"
"b_baogu","b","h_china > k_dali > d_tonghai","h_china","yes","mapped","exact","yes","vanilla","b_baogu"
"b_yeniugou","b","h_china > k_hexi > d_qilian","h_china","yes","mapped","contextual","yes","mod","b_yeniugou"
"c_tanzhou_2","c","h_china > k_youji > d_youzhou","h_china","yes","mapped","exact","yes","vanilla","c_tanzhou_2"
"b_buteng","b","h_china > k_dali > d_yinsheng","h_china","yes","mapped","exact","yes","vanilla","b_buteng"
"b_yi","b","h_china > k_youji > d_yideng","h_china","yes","mapped","exact","yes","vanilla","b_yi"
"b_suiyang","b","h_china > k_kuizhou > d_qianzhong","h_china","yes","mapped","contextual","yes","mod","b_suiyang_china"
"b_liaoshan","b","h_china > k_hedong > d_hedong","h_china","yes","mapped","contextual","yes","mod","b_liaoshan_china"
"b_lingxian","b","h_china > k_daibei > d_yunshuo","h_china","yes","mapped","exact","yes","vanilla","b_lingxian"
"c_shaozhou","c","h_china > k_hunan > d_lingling","h_china","yes","mapped","exact","yes","vanilla","c_shaozhou"
"b_liang","b","h_china > k_henan > d_dongji","h_china","yes","mapped","exact","yes","vanilla","b_liang"
"b_luze","b","h_china > k_hebei > d_chengde","h_china","yes","mapped","exact","yes","vanilla","b_luze"
"b_shixing","b","h_china > k_lingnan > d_huixun","h_china","yes","mapped","exact","yes","vanilla","b_shixing"
"b_wenxi","b","h_china > k_hedong > d_hezhong","h_china","yes","mapped","contextual","yes","mod","b_wenxi_china"
"b_lucheng","b","h_china > k_hebei > d_cangjing","h_china","yes","mapped","exact","yes","vanilla","b_lucheng"
"b_quanjiao","b","h_china > k_huainan > d_huainan","h_china","yes","mapped","exact","yes","vanilla","b_quanjiao"
"b_yuanan","b","h_china > k_shannan > d_jingnan","h_china","yes","mapped","contextual","yes","mod","b_yuanan_china"
"c_wenzhou_2","c","h_china > k_liangzhe > d_zhedong","h_china","yes","mapped","exact","yes","vanilla","c_wenzhou_2"
"c_rongzhou_2","c","h_china > k_lingxi > d_rongguan","h_china","yes","mapped","exact","yes","vanilla","c_rongzhou_2"
"b_wu","b","h_china > k_jiangdong > d_jiangdong","h_china","yes","mapped","contextual","yes","mod","b_wu"
"c_qingshan","c","h_china > k_daibei > d_xinan","h_china","yes","mapped","exact","yes","vanilla","c_qingshan"
"c_hongzhou","c","h_china > k_jiangxi > d_jiangxi","h_china","yes","mapped","contextual","yes","mod","c_hongzhou_china"
"b_yanshan","b","h_china > k_jiangxi > d_dingjiang","h_china","yes","mapped","exact","yes","vanilla","b_yanshan"
"b_huoshan","b","h_china > k_huainan > d_huaixi","h_china","yes","mapped","exact","yes","vanilla","b_huoshan"
"b_langzhong","b","h_china > k_xingyuan > d_lilang","h_china","yes","mapped","contextual","yes","mod","b_langzhong_china"
"c_yingzhou_4","c","h_china > k_qianzhong > d_zangke","h_china","yes","mapped","exact","yes","vanilla","c_yingzhou_4"
"b_neixiang","b","h_china > k_shannan > d_xiangdeng","h_china","yes","mapped","contextual","yes","mod","b_neixiang_china"
"b_lidou","b","h_china > k_dali > d_jianchuan","h_china","yes","mapped","exact","yes","vanilla","b_lidou"
"c_suzhou_2","c","h_china > k_jiangdong > d_jiangdong","h_china","yes","mapped","exact","yes","vanilla","c_suzhou_2"
"b_shicheng_2","b","h_china > k_youji > d_youzhou","h_china","yes","mapped","exact","yes","vanilla","b_shicheng_2"
"b_fenning","b","h_china > k_jiangxi > d_jiangxi","h_china","yes","mapped","exact","yes","vanilla","b_fenning"
"b_hedong","b","h_china > k_hedong > d_hezhong","h_china","yes","mapped","contextual","yes","mod","b_hedong"
"b_juancheng","b","h_china > k_qingxu > d_yuncao","h_china","yes","mapped","exact","yes","vanilla","b_juancheng"
"b_zheyuan","b","h_china > k_qianzhong > d_luoshi","h_china","yes","mapped","exact","yes","vanilla","b_zheyuan"
"b_fulin","b","h_china > k_lingnan > d_lingnan","h_china","yes","mapped","exact","yes","vanilla","b_fulin"
"b_wanqiu","b","h_china > k_henan > d_chenxu","h_china","yes","mapped","exact","yes","vanilla","b_wanqiu"
"d_xiyuan","d","h_china > k_qianzhong > d_xiyuan","h_china","yes","mapped","exact","yes","vanilla","d_xiyuan"
"c_longzhou_2","c","h_china > k_guannei > d_fengxiang","h_china","yes","mapped","contextual","yes","mod","c_longzhou_china"
"b_jixi","b","h_china > k_jiangdong > d_xuanshe","h_china","yes","mapped","contextual","yes","mod","b_EMan_Jixi"
"c_jingzhou_2","c","h_china > k_qianzhong > d_shimen","h_china","yes","mapped","exact","yes","vanilla","c_jingzhou_2"
"c_yumen","c","h_china > k_hexi > d_gansu","h_china","yes","mapped","contextual","yes","mod","c_yumen"
"b_mo","b","h_china > k_youji > d_yingmo","h_china","yes","mapped","exact","yes","vanilla","b_mo"
"c_nanan","c","h_china > k_jiangxi > d_zhaoxin","h_china","yes","mapped","exact","yes","vanilla","c_nanan"
"b_siqiongshan","b","h_china > k_lingnan > d_qiongguan","h_china","yes","mapped","exact","yes","vanilla","b_siqiongshan"
"b_youxi","b","h_china > k_fujian > d_jianning","h_china","yes","mapped","contextual","yes","mod","b_youxi_china"
"b_xiangyuan_1","b","h_china > k_hunan > d_lingling","h_china","yes","mapped","contextual","yes","mod","b_xiangyuan_china"
"c_wuzhou","c","h_china > k_liangzhe > d_zhedong","h_china","yes","mapped","contextual","yes","mod","c_LIAO_wuzhou"
"c_zhongzhou","c","h_china > k_kuizhou > d_kuizhong","h_china","yes","mapped","exact","yes","vanilla","c_zhongzhou"
"e_zhongyuan","e","h_china","h_china","yes","mapped","contextual","yes","mod","e_zhongyuan"
"b_jiulong","b","h_china > k_xichuan > d_xichuan","h_china","yes","mapped","exact","yes","vanilla","b_jiulong"
"b_hejiang","b","h_china > k_dongchuan > d_wuxin","h_china","yes","mapped","exact","yes","vanilla","b_hejiang"
"b_qiao","b","h_china > k_henan > d_biansong","h_china","yes","mapped","exact","yes","vanilla","b_qiao"
"b_wangdu","b","h_china > k_youji > d_yideng","h_china","yes","mapped","exact","yes","vanilla","b_wangdu"
"c_fuzhou_1","c","h_china > k_fujian > d_weiwu","h_china","yes","mapped","contextual","yes","mod","c_fuzhou_qin_china"
"b_sam_nuea","b","h_china > k_viet > d_nghe_an","h_china","yes","mapped","exact","yes","vanilla","b_sam_nuea"
"b_yangchuan","b","h_china > k_kuizhou > d_qianzhong","h_china","yes","mapped","exact","yes","vanilla","b_yangchuan"
"b_yunjie","b","h_china > k_hexi > d_hexi","h_china","yes","mapped","exact","yes","vanilla","b_yunjie"
"b_fengshan","b","h_china > k_lingxi > d_rongguan","h_china","yes","mapped","exact","yes","vanilla","b_fengshan"
"b_lewen","b","h_china > k_kuizhou > d_kuizhong","h_china","yes","mapped","exact","yes","vanilla","b_lewen"
"d_yideng","d","h_china > k_youji > d_yideng","h_china","yes","mapped","exact","yes","vanilla","d_yideng"
"c_shuangzhou","c","h_china > k_lingnan > d_lingnan","h_china","yes","mapped","exact","yes","vanilla","c_shuangzhou"
"b_yilong","b","h_china > k_dali > d_tuodong","h_china","yes","mapped","exact","yes","vanilla","b_yilong"
"b_fuchang","b","h_china > k_henan > d_dongji","h_china","yes","mapped","exact","yes","vanilla","b_fuchang"
"b_yuhang","b","h_china > k_liangzhe > d_zhexi","h_china","yes","mapped","exact","yes","vanilla","b_yuhang"
"b_gan","b","h_china > k_jiangxi > d_zhaoxin","h_china","yes","mapped","exact","yes","vanilla","b_gan"
"c_yezhou","c","h_china > k_kuizhou > d_wuxi","h_china","yes","mapped","exact","yes","vanilla","c_yezhou"
"b_fuqu","b","h_china > k_qingxu > d_yanhai","h_china","yes","mapped","exact","yes","vanilla","b_fuqu"
"b_xinquan","b","h_china > k_hexi > d_hexi","h_china","yes","mapped","exact","yes","vanilla","b_xinquan"
"b_shan","b","h_china > k_henan > d_shanguo","h_china","yes","mapped","exact","yes","vanilla","b_shan"
"b_loutou","b","h_china > k_dali > d_jianchuan","h_china","yes","mapped","exact","yes","vanilla","b_loutou"
"c_weichu","c","h_china > k_dali > d_dali","h_china","yes","mapped","exact","yes","vanilla","c_weichu"
"b_penglai","b","h_china > k_qingxu > d_ziqing","h_china","yes","mapped","exact","yes","vanilla","b_penglai"
"b_gongzhou","b","h_china > k_qianzhong > d_luoshi","h_china","yes","mapped","exact","yes","vanilla","b_gongzhou"
"b_fuzheng","b","h_china > k_guannei > d_fufang","h_china","yes","mapped","exact","yes","vanilla","b_fuzheng"
"b_heyuan","b","h_china > k_lingnan > d_huixun","h_china","yes","mapped","contextual","yes","mod","b_heyuan_china"
"b_nung","b","h_china > k_viet > d_hai_dong","h_china","yes","mapped","exact","yes","vanilla","b_nung"
"c_wuzhou_1","c","h_china > k_lingxi > d_jingjiang","h_china","yes","mapped","contextual","yes","mod","c_LIAO_wuzhou"
"c_wanan","c","h_china > k_lingnan > d_qiongguan","h_china","yes","mapped","exact","yes","vanilla","c_wanan"
"c_rangzhou","c","h_china > k_lingxi > d_yongguan","h_china","yes","mapped","exact","yes","vanilla","c_rangzhou"
"b_chenliu","b","h_china > k_henan > d_biansong","h_china","yes","mapped","contextual","yes","mod","b_chenliu_china"
"c_yuzhou_2","c","h_china > k_dongchuan > d_wuxin","h_china","yes","mapped","exact","yes","vanilla","c_yuzhou_2"
"b_dachang","b","h_china > k_kuizhou > d_kuizhong","h_china","yes","mapped","exact","yes","vanilla","b_dachang"
"d_hunan","d","h_china > k_hunan > d_hunan","h_china","yes","mapped","contextual","yes","mod","d_hunan_china"
"b_miaochuan","b","h_china > k_hexi > d_longyou","h_china","yes","mapped","exact","yes","vanilla","b_miaochuan"
"b_xiangyang","b","h_china > k_shannan > d_xiangdeng","h_china","yes","mapped","contextual","yes","mod","b_xiangyang_china"
"b_huanyuan","b","h_china > k_daibei > d_yunshuo","h_china","yes","mapped","exact","yes","vanilla","b_huanyuan"
"b_shangdang","b","h_china > k_hedong > d_zelu","h_china","yes","mapped","contextual","yes","mod","b_shangdang_china"
"b_wushan","b","h_china > k_guannei > d_fengxiang","h_china","yes","mapped","contextual","yes","mod","b_wushan_china"
"b_lingshui","b","h_china > k_lingnan > d_qiongguan","h_china","yes","mapped","exact","yes","vanilla","b_lingshui"
"b_jiangjin","b","h_china > k_dongchuan > d_wuxin","h_china","yes","mapped","contextual","yes","mod","b_jiangjin_china"
"b_susong","b","h_china > k_huainan > d_huaixi","h_china","yes","mapped","exact","yes","vanilla","b_susong"
"b_heyang","b","h_china > k_hebei > d_heyang","h_china","yes","mapped","contextual","yes","mod","b_heyang_china"
"b_huolu","b","h_china > k_hebei > d_chengde","h_china","yes","mapped","exact","yes","vanilla","b_huolu"
"d_chenxu","d","h_china > k_henan > d_chenxu","h_china","yes","mapped","contextual","yes","mod","d_chenxu_china"
"c_hengzhou_1","c","h_china > k_lingxi > d_yongguan","h_china","yes","mapped","contextual","yes","mod","c_hengzhou_china"
"b_houqiu","b","h_china > k_huainan > d_huaixi","h_china","yes","mapped","exact","yes","vanilla","b_houqiu"
"k_huainan","k","h_china > k_huainan","h_china","yes","mapped","exact","yes","vanilla","k_huainan"
"b_kaibian","b","h_china > k_qianzhong > d_shimen","h_china","yes","mapped","exact","yes","vanilla","b_kaibian"
"b_changhua_1","b","h_china > k_lingnan > d_qiongguan","h_china","yes","mapped","exact","yes","vanilla","b_changhua_1"
"b_yingshan","b","h_china > k_shannan > d_eyue","h_china","yes","mapped","exact","yes","vanilla","b_yingshan"
"b_yiyang","b","h_china > k_henan > d_chenxu","h_china","yes","mapped","exact","yes","vanilla","b_yiyang"
"b_longchi","b","h_china > k_lingxi > d_rongguan","h_china","yes","mapped","exact","yes","vanilla","b_longchi"
"b_dianbai","b","h_china > k_lingnan > d_gaoliang","h_china","yes","mapped","exact","yes","vanilla","b_dianbai"
"d_jingyuan","d","h_china > k_guannei > d_jingyuan","h_china","yes","mapped","contextual","yes","mod","d_jingyuan_china"
"c_fengxiang","c","h_china > k_guannei > d_fengxiang","h_china","yes","mapped","contextual","yes","mod","c_fengxiang_china"
"b_huanggang","b","h_china > k_shannan > d_eyue","h_china","yes","mapped","exact","yes","vanilla","b_huanggang"
"b_heiqing","b","h_china > k_daibei > d_xinan","h_china","yes","mapped","exact","yes","vanilla","b_heiqing"
"c_shazhou","c","h_china > k_hexi > d_guasha","h_china","yes","mapped","contextual","yes","mod","c_shazhou"
"c_gaozhou","c","h_china > k_lingnan > d_gaoliang","h_china","yes","mapped","contextual","yes","mod","c_gaozhou_china"
"c_buri","c","h_china > k_dali > d_yinsheng","h_china","yes","mapped","exact","yes","vanilla","c_buri"
"c_jiangling","c","h_china > k_shannan > d_jingnan","h_china","yes","mapped","exact","yes","vanilla","c_jiangling"
"c_zhaozhou_1","c","h_china > k_lingxi > d_jingjiang","h_china","yes","mapped","contextual","yes","mod","c_zhaozhou_china"
"b_cirlxj_shanyu","b","h_china > k_daibei > d_xinan","h_china","yes","mapped","exact","yes","vanilla","b_cirlxj_shanyu"
"b_shanyang_2","b","h_china > k_huainan > d_huainan","h_china","yes","mapped","exact","yes","vanilla","b_shanyang_2"
"b_kunmimg","b","h_china > k_dali > d_jianchuan","h_china","yes","mapped","exact","yes","vanilla","b_kunmimg"
"c_hezhong","c","h_china > k_hedong > d_hezhong","h_china","yes","mapped","exact","yes","vanilla","c_hezhong"
"c_zhaozhou","c","h_china > k_hebei > d_chengde","h_china","yes","mapped","contextual","yes","mod","c_zhaozhou_china"
"b_lean","b","h_china > k_liangzhe > d_zhedong","h_china","yes","mapped","exact","yes","vanilla","b_lean"
"c_linzhou","c","h_china > k_daibei > d_xinan","h_china","yes","mapped","exact","yes","vanilla","c_linzhou"
"b_zhongbu","b","h_china > k_guannei > d_fufang","h_china","yes","mapped","exact","yes","vanilla","b_zhongbu"
"b_jinjiang","b","h_china > k_fujian > d_pinghai","h_china","yes","mapped","exact","yes","vanilla","b_jinjiang"
"b_lulong","b","h_china > k_youji > d_youzhou","h_china","yes","mapped","exact","yes","vanilla","b_lulong"
"b_guangwu","b","h_china > k_hexi > d_hexi","h_china","yes","mapped","exact","yes","vanilla","b_guangwu"
"b_nancheng","b","h_china > k_jiangxi > d_jiangxi","h_china","yes","mapped","exact","yes","vanilla","b_nancheng"
"c_yunzhou_2","c","h_china > k_jiangxi > d_jiangxi","h_china","yes","mapped","contextual","yes","mod","c_yunzhou_china"
"b_shangrao","b","h_china > k_jiangxi > d_dingjiang","h_china","yes","mapped","contextual","yes","mod","b_shangrao_china"
"b_wucheng_2","b","h_china > k_liangzhe > d_zhexi","h_china","yes","mapped","exact","yes","vanilla","b_wucheng_2"
"b_huaining","b","h_china > k_huainan > d_huaixi","h_china","yes","mapped","exact","yes","vanilla","b_huaining"
"b_hailing","b","h_china > k_huainan > d_huainan","h_china","yes","mapped","contextual","yes","mod","b_hailing_china"
"d_jiangdong","d","h_china > k_jiangdong > d_jiangdong","h_china","yes","mapped","exact","yes","vanilla","d_jiangdong"
"c_shanzhou","c","h_china > k_henan > d_biansong","h_china","yes","mapped","contextual","yes","mod","c_shanzhou"
"c_yalong","c","h_china > k_hexi > d_qilian","h_china","yes","mapped","contextual","yes","mod","c_yalong"
"c_qizhou","c","h_china > k_qingxu > d_yuncao","h_china","yes","mapped","exact","yes","vanilla","c_qizhou"
"b_xinping","b","h_china > k_guannei > d_binning","h_china","yes","mapped","exact","yes","vanilla","b_xinping"
"b_changtai","b","h_china > k_fujian > d_pinghai","h_china","yes","mapped","exact","yes","vanilla","b_changtai"
"b_dianjiang","b","h_china > k_kuizhou > d_kuizhong","h_china","yes","mapped","exact","yes","vanilla","b_dianjiang"
"c_jiushijiuquan","c","h_china > k_daibei > d_sanggan","h_china","yes","mapped","exact","yes","vanilla","c_jiushijiuquan"
"b_yuping","b","h_china > k_lingxi > d_rongguan","h_china","yes","mapped","exact","yes","vanilla","b_yuping"
"b_dien_chau","b","h_china > k_viet > d_nghe_an","h_china","yes","mapped","contextual","yes","mod","b_dien_chau"
"b_anji","b","h_china > k_liangzhe > d_zhexi","h_china","yes","mapped","exact","yes","vanilla","b_anji"
"b_shunchang","b","h_china > k_fujian > d_jianning","h_china","yes","mapped","exact","yes","vanilla","b_shunchang"
"b_jianli","b","h_china > k_shannan > d_jingnan","h_china","yes","mapped","contextual","yes","mod","b_jianli_china"
